,,,,,x,xdiff,y,ydiff,z,zdiff,adiff,asqur,,,
02-21-01 458,0,0,0,0,0,,0,,0,,,,0,0,0
02-21-01 492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-21-01 542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-21-01 590,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
02-21-01 654,0,0,0,0,-1.419159,1.419159,0.286911,0.286911,-0.231323,0.231323,1.466233446,1.466233446,0,0,0
02-21-01 699,0,0,0,0.04,-1.419159,0,0.286911,0,-0.231323,0,0,1.466233446,0,0,0
02-21-01 747,0,0,0,0,-1.419159,0,0.286911,0,-0.231323,0,0,1.466233446,0,0,0
02-21-01 797,0,0,0,0,-1.419159,0,0.286911,0,-0.231323,0,0,1.466233446,0,0,0
02-21-01 857,0,0,0,0,-1.055557,0.363602,0.466782,0.179871,0.039276,0.270599,0.487630813,1.154828394,0.733403,0.702745,0.052872
02-21-01 903,0,0,0,0,-1.055557,0,0.466782,0,0.039276,0,0,1.154828394,0.733403,0.702745,0.052872
02-21-01 953,0,0,0,0,-1.055557,0,0.466782,0,0.039276,0,0,1.154828394,0.733403,0.702745,0.052872
02-21-02 001,0,0,0,0,-1.055557,0,0.466782,0,0.039276,0,0,1.154828394,0.733403,0.702745,0.052872
02-21-02 062,0,0,0,0.04,-1.055557,0,0.466782,0,0.039276,0,0,1.154828394,0.733403,0.702745,0.052872
02-21-02 108,0,0,0,0,-1.055557,0,0.466782,0,0.039276,0,0,1.154828394,0.733403,0.702745,0.052872
02-21-02 157,0,0,0,0.04,-0.662872,0.392685,0.410217,0.056565,-0.118179,0.157455,0.426840937,0.788443753,0.733403,0.702745,0.052872
02-21-02 216,0,0,0.04,0.04,-0.662872,0,0.410217,0,-0.118179,0,0,0.788443753,0.733403,0.702745,0.052872
02-21-02 267,0,0,0.04,0.04,-0.662872,0,0.410217,0,-0.118179,0,0,0.788443753,-1.896667,-1.254295,0.496443
02-21-02 313,0,0,0,0,-0.662872,0,0.410217,0,-0.118179,0,0,0.788443753,-1.896667,-1.254295,0.496443
02-21-02 364,0,0,0,0.04,-0.342392,0.32048,1.184937,0.77472,0.053024,0.171203,0.855692104,1.234552356,-1.896667,-1.254295,0.496443
02-21-02 425,0,0,0,0.08,-0.342392,0,1.184937,0,0.053024,0,0,1.234552356,-1.896667,-1.254295,0.496443
02-21-02 474,0,0,0,0.04,-0.342392,0,1.184937,0,0.053024,0,0,1.234552356,0.070427,0.227952,0.609881
02-21-02 518,0,0,0,0.04,-0.038635,0.303757,0.864212,0.320725,-0.033508,0.086532,0.450134011,0.865723876,0.070427,0.227952,0.609881
02-21-02 567,0,0,0,0.04,-0.038635,0,0.864212,0,-0.033508,0,0,0.865723876,0.070427,0.227952,0.609881
02-21-02 626,0,0,0,0.04,-0.038635,0,0.864212,0,-0.033508,0,0,0.865723876,0.070427,0.227952,0.609881
02-21-02 676,0,0,0,0.04,-0.038635,0,0.864212,0,-0.033508,0,0,0.865723876,0.063628,0.300871,-0.020682
02-21-02 723,0,0,0,0.04,-0.125977,0.087342,1.009613,0.145401,-0.110474,0.076966,0.186262828,1.023422258,0.063628,0.300871,-0.020682
02-21-02 782,0,0,0,0.08,-0.125977,0,1.009613,0,-0.110474,0,0,1.023422258,0.063628,0.300871,-0.020682
02-21-02 831,0,0,0,0.08,-0.125977,0,1.009613,0,-0.110474,0,0,1.023422258,0.063628,0.300871,-0.020682
02-21-02 884,0,0,0,0.04,-0.125977,0,1.009613,0,-0.110474,0,0,1.023422258,-0.025656,-0.001692,-0.014022
02-21-02 929,0,0,0,0.04,-0.042038,0.083939,1.018433,0.00882,-0.090683,0.019791,0.086690437,1.023326133,-0.025656,-0.001692,-0.014022
02-21-02 987,0,0,0,0.08,-0.042038,0,1.018433,0,-0.090683,0,0,1.023326133,-0.025656,-0.001692,-0.014022
02-21-03 036,0,0,0,0.04,-0.042038,0,1.018433,0,-0.090683,0,0,1.023326133,-0.025656,-0.001692,-0.014022
02-21-03 086,0,0,0,0.12,-0.042038,0,1.018433,0,-0.090683,0,0,1.023326133,-0.072738,-0.00701,-0.013664
02-21-03 134,0,0,0,0.12,-0.052338,0.0103,1.011398,0.007035,-0.070587,0.020096,0.023652282,1.015208208,-0.072738,-0.00701,-0.013664
02-21-03 202,0,0,0,0.08,-0.052338,0,1.011398,0,-0.070587,0,0,1.015208208,-0.072738,-0.00701,-0.013664
02-21-03 241,0,0,0,0.08,-0.052338,0,1.011398,0,-0.070587,0,0,1.015208208,-0.072738,-0.00701,-0.013664
02-21-03 290,0,0,0,0.08,-0.052338,0,1.011398,0,-0.070587,0,0,1.015208208,-0.034946,-0.083198,-0.00435
02-21-03 348,0,0,0.04,0.08,-0.035721,0.016617,1.016922,0.005524,-0.068863,0.001724,0.017595779,1.019876687,-0.034946,-0.083198,-0.00435
02-21-03 397,0,0,0,0.08,-0.035721,0,1.016922,0,-0.068863,0,0,1.019876687,-0.034946,-0.083198,-0.00435
02-21-03 446,0,0,0,0.08,-0.035721,0,1.016922,0,-0.068863,0,0,1.019876687,-0.034946,-0.083198,-0.00435
02-21-03 495,0,0,0,0.08,-0.035721,0,1.016922,0,-0.068863,0,0,1.019876687,-0.034946,-0.083198,-0.00435
02-21-03 556,0,0,0.04,0.08,-0.08519,0.049469,1.026047,0.009125,-0.054993,0.01387,0.052180691,1.031045107,-0.078622,-0.035635,-0.033273
02-21-03 607,0,0,0,0.12,-0.08519,0,1.026047,0,-0.054993,0,0,1.031045107,-0.078622,-0.035635,-0.033273
02-21-03 651,0,0,0.04,0.12,-0.08519,0,1.026047,0,-0.054993,0,0,1.031045107,-0.078622,-0.035635,-0.033273
02-21-03 709,0,0,0.04,0.08,-0.08519,0,1.026047,0,-0.054993,0,0,1.031045107,-0.078622,-0.035635,-0.033273
02-21-03 760,0,0,0,0.12,-0.046341,0.038849,1.03183,0.005783,0.025269,0.080262,0.089357017,1.033179152,0.03399,-0.218144,0.001017
02-21-03 809,0,0,0.04,0.08,-0.046341,0,1.03183,0,0.025269,0,0,1.033179152,0.03399,-0.218144,0.001017
02-21-03 859,0,0,0.08,0.12,-0.046341,0,1.03183,0,0.025269,0,0,1.033179152,0.03399,-0.218144,0.001017
02-21-03 908,0,0,0.12,0.12,-0.046341,0,1.03183,0,0.025269,0,0,1.033179152,0.03399,-0.218144,0.001017
02-21-03 964,0,0,0.12,0.12,-0.227661,0.18132,0.974548,0.057282,-0.08168,0.106949,0.218165668,1.004114016,-0.564681,-0.624172,-0.259808
02-21-04 012,0,0,0.12,0.12,-0.227661,0,0.974548,0,-0.08168,0,0,1.004114016,-0.564681,-0.624172,-0.259808
02-21-04 061,0,0,0.12,0.16,-0.227661,0,0.974548,0,-0.08168,0,0,1.004114016,-0.564681,-0.624172,-0.259808
02-21-04 120,0,0,0.12,0.16,-0.227661,0,0.974548,0,-0.08168,0,0,1.004114016,-0.564681,-0.624172,-0.259808
02-21-04 169,0,0,0.08,0.24,0.120682,0.348343,1.058243,0.083695,0.043106,0.124786,0.3793669,1.065973977,0.513026,-1.65957,0.133116
02-21-04 225,0,0,0,0.16,0.120682,0,1.058243,0,0.043106,0,0,1.065973977,0.513026,-1.65957,0.133116
02-21-04 269,0,0,0,0,0.120682,0,1.058243,0,0.043106,0,0,1.065973977,0.513026,-1.65957,0.133116
02-21-04 326,0,0,0,0,0.120682,0,1.058243,0,0.043106,0,0,1.065973977,0.513026,-1.65957,0.133116
02-21-04 376,0,0,0,0,-0.295868,0.41655,0.978622,0.079621,-0.294281,0.337387,0.541925635,1.063879786,0.529883,-1.412626,0.059165
02-21-04 423,0,0,0,0,-0.295868,0,0.978622,0,-0.294281,0,0,1.063879786,0.529883,-1.412626,0.059165
02-21-04 471,0,0,0,0,-0.295868,0,0.978622,0,-0.294281,0,0,1.063879786,0.529883,-1.412626,0.059165
02-21-04 531,0,0,0,0,-0.295868,0,0.978622,0,-0.294281,0,0,1.063879786,0.529883,-1.412626,0.059165
02-21-04 579,0,0,0,0,-0.128052,0.167816,0.984726,0.006104,-0.173645,0.120636,0.206766809,1.008084915,0.022749,-0.698086,0.001855
02-21-04 628,0,0,0,0,-0.128052,0,0.984726,0,-0.173645,0,0,1.008084915,0.022749,-0.698086,0.001855
02-21-04 688,0,0,0,0,-0.128052,0,0.984726,0,-0.173645,0,0,1.008084915,0.022749,-0.698086,0.001855
02-21-04 735,0,0,0,0,-0.128052,0,0.984726,0,-0.173645,0,0,1.008084915,0.022749,-0.698086,0.001855
02-21-04 790,0,0,0,0,-0.073547,0.054505,1.009689,0.024963,-0.151535,0.02211,0.06389678,1.023642464,0.086836,-0.247519,0.131334
02-21-04 833,0,0,0,0,-0.073547,0,1.009689,0,-0.151535,0,0,1.023642464,0.086836,-0.247519,0.131334
02-21-04 975,0,0,0,0,-0.081985,0.008438,1.010361,0.000672,-0.194733,0.043198,0.044019526,1.03221695,0.095219,-0.130927,0.129373
02-21-04 979,0,0,0,0,-0.081985,0,1.010361,0,-0.194733,0,0,1.03221695,0.095219,-0.130927,0.129373
02-21-04 989,0,0,0,0,-0.081985,0,1.010361,0,-0.194733,0,0,1.03221695,0.095219,-0.130927,0.129373
02-21-05 029,0,0,0,0,-0.081985,0,1.010361,0,-0.194733,0,0,1.03221695,0.095219,-0.130927,0.129373
02-21-05 097,0,0,0,0,-0.081985,0,1.010361,0,-0.194733,0,0,1.03221695,0.095219,-0.130927,0.129373
02-21-05 145,0,0,0,0,-0.104553,0.022568,0.992752,0.017609,-0.087173,0.10756,0.111303841,1.002041414,0.095219,-0.130927,0.129373
