Time,s1,s2,s3,s4,x,xdiff,y,ydiff,z,zdiff,adiff,z1,z2,z3
10-20-04 804,0,0,0,0,0,,0,,0,,,0,0,0
10-20-04 844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-20-04 892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-20-04 941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-20-05 000,0,0,0,0,0.379059,0.379059,-0.320694,0.320694,-0.830734,0.830734,0.967806461,0,0,0
10-20-05 050,0,0,0,0,0.379059,0,-0.320694,0,-0.830734,0,0,0,0,0
10-20-05 098,0,0,0,0,0.379059,0,-0.320694,0,-0.830734,0,0,0,0,0
10-20-05 147,0,0,0,0,0.379059,0,-0.320694,0,-0.830734,0,0,0,0,0
10-20-05 205,0,0,0,0,0.402252,0.023193,-0.314682,0.006012,-0.857254,0.02652,0.03574031,0,0,0
10-20-05 254,0,0,0,0,0.402252,0,-0.314682,0,-0.857254,0,0,0.027267,0.098455,-0.019518
10-20-05 303,0,0,0,0,0.402252,0,-0.314682,0,-0.857254,0,0,0.027267,0.098455,-0.019518
10-20-05 364,0,0,0,0,0.402252,0,-0.314682,0,-0.857254,0,0,0.027267,0.098455,-0.019518
10-20-05 410,0,0,0,0,0.464584,0.062332,-0.350418,0.035736,-0.830338,0.026916,0.076725556,0.027267,0.098455,-0.019518
10-20-05 459,0,0,0,0,0.464584,0,-0.350418,0,-0.830338,0,0,-0.237745,0.84762,0.096308
10-20-05 508,0,0.04,0,0,0.464584,0,-0.350418,0,-0.830338,0,0,-0.237745,0.84762,0.096308
10-20-05 567,0,0.04,0,0,0.464584,0,-0.350418,0,-0.830338,0,0,-0.237745,0.84762,0.096308
10-20-05 615,0,0,0,0,0.49971,0.035126,-0.418411,0.067993,-0.824921,0.005417,0.076721756,-0.237745,0.84762,0.096308
10-20-05 664,0,0,0,0,0.49971,0,-0.418411,0,-0.824921,0,0,-0.116514,-0.500003,0.102336
10-20-05 713,0,0,0,0,0.49971,0,-0.418411,0,-0.824921,0,0,-0.116514,-0.500003,0.102336
10-20-05 772,0,0,0,0,0.49971,0,-0.418411,0,-0.824921,0,0,-0.116514,-0.500003,0.102336
10-20-05 820,0,0,0,0,0.216934,0.282776,-0.425186,0.006775,-0.773254,0.051667,0.287537207,-0.116514,-0.500003,0.102336
10-20-05 869,0,0,0,0,0.216934,0,-0.425186,0,-0.773254,0,0,0.56094,-0.679416,0.024481
10-20-05 928,0,0,0,0,0.216934,0,-0.425186,0,-0.773254,0,0,0.56094,-0.679416,0.024481
10-20-05 977,0,0,0,0,0.216934,0,-0.425186,0,-0.773254,0,0,0.56094,-0.679416,0.024481
10-20-06 025,0,0,0,0,1.955933,1.738999,-0.889816,0.46463,-0.379333,0.393921,1.842599336,-1.009978,-4.697135,-1.057642
10-20-06 200,0,0,0,0,1.955933,0,-0.889816,0,-0.379333,0,0,-1.009978,-4.697135,-1.057642
10-20-06 204,0,0,0,0,1.955933,0,-0.889816,0,-0.379333,0,0,-1.009978,-4.697135,-1.057642
10-20-06 207,0,0,0,0,1.955933,0,-0.889816,0,-0.379333,0,0,-1.009978,-4.697135,-1.057642
10-20-06 285,0.08,0,0,0,-0.965698,2.921631,0.447266,1.337082,-0.78302,0.403687,3.238314248,-1.189462,-2.676906,4.997272
10-20-06 290,0,0,0,0,-0.965698,0,0.447266,0,-0.78302,0,0,-1.189462,-2.676906,4.997272
10-20-06 338,0,0,0,0,-0.965698,0,0.447266,0,-0.78302,0,0,-1.189462,-2.676906,4.997272
10-20-06 387,0,0,0,0,-0.965698,0,0.447266,0,-0.78302,0,0,-1.189462,-2.676906,4.997272
10-20-06 436,0,0,0,0,-1.386429,0.420731,0.210358,0.236908,-0.108978,0.674042,0.82913967,0.985556,0.757803,1.606287
10-20-06 494,0,0,0,0,-1.386429,0,0.210358,0,-0.108978,0,0,0.985556,0.757803,1.606287
10-20-06 543,0,0,0,0,-1.386429,0,0.210358,0,-0.108978,0,0,0.985556,0.757803,1.606287
10-20-06 593,0,0,0,0.08,-1.386429,0,0.210358,0,-0.108978,0,0,0.985556,0.757803,1.606287
10-20-06 640,0,0,0,0.24,-1.386429,0,0.210358,0,-0.108978,0,0,-0.944038,-1.554311,-1.301237
10-20-06 699,0,0,0.08,0.44,-0.696396,0.690033,0.728699,0.518341,-0.520081,0.411103,0.955943832,-0.944038,-1.554311,-1.301237
10-20-06 751,0,0,0.12,0.48,-0.696396,0,0.728699,0,-0.520081,0,0,-0.944038,-1.554311,-1.301237
10-20-06 797,0,0.04,0.04,0.48,-0.696396,0,0.728699,0,-0.520081,0,0,-0.944038,-1.554311,-1.301237
10-20-06 846,0,0.04,0,0.32,-0.696396,0,0.728699,0,-0.520081,0,0,-0.040931,-1.739977,-0.789924
10-20-06 904,0,0.2,0,0.12,-0.64743,0.048966,0.53804,0.190659,0.125504,0.645585,0.674928526,-0.040931,-1.739977,-0.789924
10-20-06 953,0,0.32,0,0,-0.64743,0,0.53804,0,0.125504,0,0,-0.040931,-1.739977,-0.789924
10-20-07 002,0,0.44,0,0,-0.64743,0,0.53804,0,0.125504,0,0,-0.040931,-1.739977,-0.789924
10-20-07 061,0,0.48,0,0,-0.64743,0,0.53804,0,0.125504,0,0,-0.029357,-1.443556,2.757979
10-20-07 110,0,0.6,0,0,-0.370361,0.277069,0.973251,0.435211,0.165588,0.040084,0.517477123,-0.029357,-1.443556,2.757979
10-20-07 160,0,0.6,0,0,-0.370361,0,0.973251,0,0.165588,0,0,-0.029357,-1.443556,2.757979
10-20-07 217,0,0.64,0,0,-0.370361,0,0.973251,0,0.165588,0,0,0.030995,0.051376,0.970299
10-20-07 266,0,0.64,0,0,-0.370361,0,0.973251,0,0.165588,0,0,0.030995,0.051376,0.970299
10-20-07 315,0,0.68,0,0,-0.243347,0.127014,1.09198,0.118729,0.360077,0.194489,0.26087373,0.030995,0.051376,0.970299
10-20-07 363,20.48,0.8,0,0,-0.243347,0,1.09198,0,0.360077,0,0,0.030995,0.051376,0.970299
10-20-07 422,2.36,0.8,0,0,-0.243347,0,1.09198,0,0.360077,0,0,1.230686,0.221707,0.376154
10-20-07 471,0,0.72,0,0,-0.243347,0,1.09198,0,0.360077,0,0,1.230686,0.221707,0.376154
10-20-07 520,0,0.28,0,0,-0.54921,0.305863,2.32547,1.23349,0.583267,0.22319,1.290295908,1.230686,0.221707,0.376154
10-20-07 569,0,0,0,0,-0.54921,0,2.32547,0,0.583267,0,0,1.230686,0.221707,0.376154
10-20-07 629,0,0,0,0,-0.54921,0,2.32547,0,0.583267,0,0,0.490231,-1.449668,2.602471
10-20-07 677,0,0,0,0,-0.54921,0,2.32547,0,0.583267,0,0,0.490231,-1.449668,2.602471
10-20-07 725,0,0,0,0,0.119247,0.668457,1.137054,1.188416,-0.120255,0.703522,1.534311101,0.490231,-1.449668,2.602471
10-20-07 774,0,0,0,0,0.119247,0,1.137054,0,-0.120255,0,0,0.490231,-1.449668,2.602471
10-20-07 833,0,0,0,0,0.119247,0,1.137054,0,-0.120255,0,0,0.748984,0.010635,0.805936
10-20-07 881,0,0,0,0,0.119247,0,1.137054,0,-0.120255,0,0,0.748984,0.010635,0.805936
10-20-07 957,0,0,0,0,0.507446,0.388199,0.877441,0.259613,-0.090775,0.02948,0.467938504,0.748984,0.010635,0.805936
10-20-07 988,0,0,0.6,0.12,0.507446,0,0.877441,0,-0.090775,0,0,0.748984,0.010635,0.805936
10-20-08 039,0,0,0,0,0.507446,0,0.877441,0,-0.090775,0,0,-0.11902,-1.307552,0.655088
10-20-08 179,0,0,0,0,0.401123,0.106323,0.906372,0.028931,-0.127487,0.036712,0.116143678,-0.11902,-1.307552,0.655088
10-20-08 184,0,0,0,0,0.401123,0,0.906372,0,-0.127487,0,0,-0.11902,-1.307552,0.655088
10-20-08 186,0,0,0,0,0.401123,0,0.906372,0,-0.127487,0,0,-0.11902,-1.307552,0.655088
10-20-08 244,0,0,0,0,0.401123,0,0.906372,0,-0.127487,0,0,0.462748,0.923407,0.374977
10-20-08 291,0,0,0,0,0.401123,0,0.906372,0,-0.127487,0,0,0.462748,0.923407,0.374977
10-20-08 340,0,0,0,0,0.644531,0.243408,1.159271,0.252899,-0.008209,0.119278,0.370719031,0.462748,0.923407,0.374977
10-20-08 399,0,0,0,2.52,0.644531,0,1.159271,0,-0.008209,0,0,0.462748,0.923407,0.374977
10-20-08 447,0,0,0,0.36,0.644531,0,1.159271,0,-0.008209,0,0,-0.111033,2.892596,0.140118
10-20-08 496,0,0,0.12,0.6,0.644531,0,1.159271,0,-0.008209,0,0,-0.111033,2.892596,0.140118
10-20-08 555,0,0,0.2,0.72,0.348557,0.295974,0.807098,0.352173,-0.432114,0.423905,0.625557255,-0.111033,2.892596,0.140118
10-20-08 678,0,0,0,0.4,0.348557,0,0.807098,0,-0.432114,0,0,-1.412086,-0.387312,-0.763999
10-20-08 682,0,0,0,0.24,0.348557,0,0.807098,0,-0.432114,0,0,-1.412086,-0.387312,-0.763999
10-20-08 685,0,0,0,0.24,0.348557,0,0.807098,0,-0.432114,0,0,-1.412086,-0.387312,-0.763999
10-20-08 701,0,0,0,0.04,0.348557,0,0.807098,0,-0.432114,0,0,-1.412086,-0.387312,-0.763999
10-20-08 760,0,0.04,0,0,0.515381,0.166824,0.493393,0.313705,0.150208,0.582322,0.682158329,-1.412086,-0.387312,-0.763999
10-20-08 809,0,0.16,0,0.04,0.515381,0,0.493393,0,0.150208,0,0,-1.412086,-0.387312,-0.763999
10-20-08 859,0,0.32,0,0,0.515381,0,0.493393,0,0.150208,0,0,1.173938,0.269187,-1.123278
10-20-08 916,0,0.56,0,0,0.515381,0,0.493393,0,0.150208,0,0,1.173938,0.269187,-1.123278
10-20-08 967,0,0.64,0,0,1.011337,0.495956,1.790192,1.296799,0.600723,0.450515,1.459665635,1.173938,0.269187,-1.123278
10-20-09 014,0,0.92,0,0,1.011337,0,1.790192,0,0.600723,0,0,-0.938846,-1.443781,0.446717
10-20-09 064,0,0.88,0,0,1.011337,0,1.790192,0,0.600723,0,0,-0.938846,-1.443781,0.446717
10-20-09 121,0,0.36,0,0,1.011337,0,1.790192,0,0.600723,0,0,-0.938846,-1.443781,0.446717
10-20-09 170,0,0,0,0,0.574829,0.436508,0.453674,1.336518,-0.124817,0.72554,1.582159249,-0.938846,-1.443781,0.446717
10-20-09 223,0,0,0,0,0.574829,0,0.453674,0,-0.124817,0,0,0.727035,2.890166,0.286772
10-20-09 268,0,0,0,0,0.574829,0,0.453674,0,-0.124817,0,0,0.727035,2.890166,0.286772
10-20-09 327,0,0,0,0,0.574829,0,0.453674,0,-0.124817,0,0,0.727035,2.890166,0.286772
10-20-09 377,0,0,0,0,0.219955,0.354874,0.950806,0.497132,-0.128677,0.00386,0.610811494,0.727035,2.890166,0.286772
10-20-09 424,0,0,0,0,0.219955,0,0.950806,0,-0.128677,0,0,1.079986,1.183514,-0.487035
10-20-09 483,0,0,0,0,0.219955,0,0.950806,0,-0.128677,0,0,1.079986,1.183514,-0.487035
10-20-09 532,0,0,0,0,0.219955,0,0.950806,0,-0.128677,0,0,1.079986,1.183514,-0.487035
10-20-09 591,0,0,0,0,0.182541,0.037414,0.990891,0.040085,0.008209,0.136886,0.147459797,1.079986,1.183514,-0.487035
10-20-09 629,0,0,0,0,0.182541,0,0.990891,0,0.008209,0,0,0.14982,0.786622,-0.22199
10-20-09 691,0,0,0,0,0.182541,0,0.990891,0,0.008209,0,0,0.14982,0.786622,-0.22199
10-20-09 736,0,0,0,0,0.182541,0,0.990891,0,0.008209,0,0,0.14982,0.786622,-0.22199
10-20-09 785,0,0,0,0,0.182541,0,0.990891,0,0.008209,0,0,0.14982,0.786622,-0.22199
10-20-09 834,0,0,0,0,0.298737,0.116196,0.966003,0.024888,-0.323822,0.332031,0.352654942,0.160085,1.523822,0.166926
10-20-09 892,0,0,0,0,0.298737,0,0.966003,0,-0.323822,0,0,0.160085,1.523822,0.166926
10-20-09 942,0,0,0,0,0.298737,0,0.966003,0,-0.323822,0,0,0.160085,1.523822,0.166926
10-20-09 990,0,0,0,0.16,0.298737,0,0.966003,0,-0.323822,0,0,0.160085,1.523822,0.166926
10-20-10 051,0,0,0.04,0.48,0.351593,0.052856,1.016266,0.050263,-0.0112,0.312622,0.321018132,0.038949,1.685463,-0.011309
10-20-10 098,0,0,0.12,0.64,0.351593,0,1.016266,0,-0.0112,0,0,0.038949,1.685463,-0.011309
10-20-10 146,0,0,0.08,0.6,0.351593,0,1.016266,0,-0.0112,0,0,0.038949,1.685463,-0.011309
10-20-10 298,0,0,0,0.24,0.215454,0.136139,0.936081,0.080185,-0.157074,0.145874,0.215041125,0.251766,2.674995,0.678725
10-20-10 301,0,0,0.08,0.76,0.215454,0,0.936081,0,-0.157074,0,0,0.251766,2.674995,0.678725
10-20-10 304,0,0,0.08,0.76,0.215454,0,0.936081,0,-0.157074,0,0,0.251766,2.674995,0.678725
10-20-10 307,0,0,0.08,0.76,0.215454,0,0.936081,0,-0.157074,0,0,0.251766,2.674995,0.678725
10-20-10 351,0,0,0.04,0.88,0.215454,0,0.936081,0,-0.157074,0,0,0.251766,2.674995,0.678725
10-20-10 411,0,0,0,0.88,0.215454,0,0.936081,0,-0.157074,0,0,0.616507,1.723734,0.506485
10-20-10 464,0,0,0,1.04,-0.209503,0.424957,0.817245,0.118836,0.218948,0.376022,0.579743901,0.616507,1.723734,0.506485
10-20-10 508,0,0,0.04,1.16,-0.209503,0,0.817245,0,0.218948,0,0,0.616507,1.723734,0.506485
10-20-10 557,0,0,0,1.16,-0.209503,0,0.817245,0,0.218948,0,0,0.616507,1.723734,0.506485
10-20-10 615,0,0,0,0.68,-0.209503,0,0.817245,0,0.218948,0,0,-0.210737,-0.384964,-1.136525
10-20-10 664,0,0,0,0.12,0.649521,0.859024,0.119537,0.697708,0.038391,0.180557,1.121302598,-0.210737,-0.384964,-1.136525
10-20-10 714,0,0,0,0,0.649521,0,0.119537,0,0.038391,0,0,-0.210737,-0.384964,-1.136525
10-20-10 764,0,0,0,0,0.649521,0,0.119537,0,0.038391,0,0,-0.210737,-0.384964,-1.136525
10-20-10 820,0,0,0,0,0.649521,0,0.119537,0,0.038391,0,0,1.691031,1.575397,-0.201204
10-20-10 869,0,0,0,0,0.382339,0.267182,0.998413,0.878876,-0.221176,0.259567,0.954559727,1.691031,1.575397,-0.201204
10-20-10 918,0,0,0,0,0.382339,0,0.998413,0,-0.221176,0,0,1.691031,1.575397,-0.201204
10-20-10 977,0,0,0,0,0.382339,0,0.998413,0,-0.221176,0,0,1.691031,1.575397,-0.201204
10-20-11 026,0,0,0,0,0.382339,0,0.998413,0,-0.221176,0,0,0.897594,1.231608,-0.440634
10-20-11 074,0,0,0,0,0.524734,0.142395,0.972275,0.026138,-0.172119,0.049057,0.152859806,0.897594,1.231608,-0.440634
10-20-11 123,0,0,0,0,0.524734,0,0.972275,0,-0.172119,0,0,0.897594,1.231608,-0.440634
10-20-11 182,0,0,0,0,0.524734,0,0.972275,0,-0.172119,0,0,0.897594,1.231608,-0.440634
10-20-11 231,0,0,0,0,0.524734,0,0.972275,0,-0.172119,0,0,0.438052,0.406777,-0.134601
10-20-11 283,0,0,0,0,0.43512,0.089614,0.88826,0.084015,-0.223801,0.051682,0.133267469,0.438052,0.406777,-0.134601
