,,,,,x,xdiff,y,ydiff,z,zdiff,adiff,asqur,,,
02-24-01 684,0,0,0.16,0.16,0,,0,,0,,,,0,0,0
02-24-01 688,0.04,0,0.16,0.16,0,0,0,0,0,0,0,0,0,0,0
02-24-01 721,0.04,0,0.16,0.16,0,0,0,0,0,0,0,0,0,0,0
02-24-01 770,0,0,0.12,0.16,0,0,0,0,0,0,0,0,0,0,0
02-24-01 829,0,0,0.04,0.12,0,0,0,0,0,0,0,0,0,0,0
02-24-01 878,0,0,0,0.04,0.186066,0.186066,-0.471802,0.471802,-0.724411,0.724411,0.884301408,0.884301408,0,0,0
02-24-01 927,0,0,0,0.04,0.186066,0,-0.471802,0,-0.724411,0,0,0.884301408,0,0,0
02-24-01 976,0,0,0,0,0.186066,0,-0.471802,0,-0.724411,0,0,0.884301408,0,0,0
02-24-02 034,0,0,0,0.04,0.186066,0,-0.471802,0,-0.724411,0,0,0.884301408,0,0,0
02-24-02 084,0,0,0,0.04,-0.171814,0.35788,0.137665,0.609467,-0.942535,0.218124,0.739666275,0.967906984,-0.295972,-3.09912,0.991916
02-24-02 132,0,0,0,0,-0.171814,0,0.137665,0,-0.942535,0,0,0.967906984,-0.295972,-3.09912,0.991916
02-24-02 181,0,0,0,0,-0.171814,0,0.137665,0,-0.942535,0,0,0.967906984,-0.295972,-3.09912,0.991916
02-24-02 238,0,0,0,0,-0.171814,0,0.137665,0,-0.942535,0,0,0.967906984,-0.295972,-3.09912,0.991916
02-24-02 288,0,0,0,0,-0.171814,0,0.137665,0,-0.942535,0,0,0.967906984,-0.295972,-3.09912,0.991916
02-24-02 337,0,0,0,0,-1.489563,1.317749,0.706589,0.568924,-0.243866,0.698669,1.596331832,1.666594303,-0.295972,-3.09912,0.991916
02-24-02 385,0,0,0,0,-1.489563,0,0.706589,0,-0.243866,0,0,1.666594303,-0.295972,-3.09912,0.991916
02-24-02 444,0,0,0,0,-1.489563,0,0.706589,0,-0.243866,0,0,1.666594303,1.677527,-0.037327,0.700817
02-24-02 493,0,0,0,0,-1.489563,0,0.706589,0,-0.243866,0,0,1.666594303,1.677527,-0.037327,0.700817
02-24-02 542,0,0,0,0,-0.813538,0.676025,0.375427,0.331162,0.246414,0.49028,0.898361035,0.929252048,1.677527,-0.037327,0.700817
02-24-02 601,0,0,0,0,-0.813538,0,0.375427,0,0.246414,0,0,0.929252048,1.677527,-0.037327,0.700817
02-24-02 649,0,0,0,0,-0.813538,0,0.375427,0,0.246414,0,0,0.929252048,-0.784767,-0.7847,-0.576527
02-24-02 698,0,0,0,0,-0.813538,0,0.375427,0,0.246414,0,0,0.929252048,-0.784767,-0.7847,-0.576527
02-24-02 747,0,0,0,0,-0.997589,0.184051,0.765961,0.390534,-0.088455,0.334869,0.546377912,1.260834784,-0.784767,-0.7847,-0.576527
02-24-02 806,0,0,0,0,-0.997589,0,0.765961,0,-0.088455,0,0,1.260834784,-0.784767,-0.7847,-0.576527
02-24-02 856,0,0,0,0,-0.997589,0,0.765961,0,-0.088455,0,0,1.260834784,-1.764139,1.059556,-0.746666
02-24-02 912,0,0,0,0,-0.997589,0,0.765961,0,-0.088455,0,0,1.260834784,-1.764139,1.059556,-0.746666
02-24-02 972,0,0,0,0,-0.782898,0.214691,0.606766,0.159195,-0.148102,0.059647,0.273848568,1.001513085,-1.764139,1.059556,-0.746666
02-24-03 011,0,0,0,0,-0.782898,0,0.606766,0,-0.148102,0,0,1.001513085,-1.764139,1.059556,-0.746666
02-24-03 060,0,0,0,0,-0.782898,0,0.606766,0,-0.148102,0,0,1.001513085,-1.764139,1.059556,-0.746666
02-24-03 109,0,0,0,0,-0.782898,0,0.606766,0,-0.148102,0,0,1.001513085,1.965999,-0.351021,1.189372
02-24-03 216,0,0,0,0,-0.333038,0.44986,3.058502,2.451736,-1.064133,0.916031,2.655653634,3.255415156,1.965999,-0.351021,1.189372
02-24-03 221,0,0,0,0,-0.333038,0,3.058502,0,-1.064133,0,0,3.255415156,1.965999,-0.351021,1.189372
02-24-03 265,0,0,0,0,-0.333038,0,3.058502,0,-1.064133,0,0,3.255415156,1.965999,-0.351021,1.189372
02-24-03 314,0,0,0.2,0.08,-0.333038,0,3.058502,0,-1.064133,0,0,3.255415156,-0.546241,-0.300569,0.138213
02-24-03 372,0,0,0.4,0.08,-0.282013,0.051025,1.221115,1.837387,0.228561,1.292694,2.247143145,1.273928297,-0.546241,-0.300569,0.138213
02-24-03 421,0,0,0.64,0.08,-0.282013,0,1.221115,0,0.228561,0,0,1.273928297,-0.546241,-0.300569,0.138213
02-24-03 470,0,0,0.88,0.08,-0.282013,0,1.221115,0,0.228561,0,0,1.273928297,-0.546241,-0.300569,0.138213
02-24-03 528,0,0,0.72,0.04,-0.282013,0,1.221115,0,0.228561,0,0,1.273928297,-0.567925,-0.368476,-0.542011
02-24-03 578,0,0,0.64,0.04,0.030563,0.312576,0.865051,0.356064,-0.099228,0.327789,0.576134495,0.871259735,-0.567925,-0.368476,-0.542011
02-24-03 628,0,0,0.36,0.04,0.030563,0,0.865051,0,-0.099228,0,0,0.871259735,-0.567925,-0.368476,-0.542011
02-24-03 675,0,0,0.12,0,0.030563,0,0.865051,0,-0.099228,0,0,0.871259735,-0.567925,-0.368476,-0.542011
02-24-03 681,0,0,0.12,0,0.030563,0,0.865051,0,-0.099228,0,0,0.871259735,-0.567925,-0.368476,-0.542011
02-24-03 734,0,0,0.04,0.04,-0.138367,0.16893,0.925293,0.060242,0.116196,0.215424,0.280310441,0.942769364,-0.567925,-0.368476,-0.542011
02-24-03 783,0,0,0,0,-0.138367,0,0.925293,0,0.116196,0,0,0.942769364,0.354277,-0.673185,-0.206319
02-24-03 832,0,0,0,0,-0.138367,0,0.925293,0,0.116196,0,0,0.942769364,0.354277,-0.673185,-0.206319
02-24-03 881,0,0,0,0,-0.138367,0,0.925293,0,0.116196,0,0,0.942769364,0.354277,-0.673185,-0.206319
02-24-03 939,0,0,0,0,-0.207123,0.068756,1.001465,0.076172,-0.091827,0.208023,0.231955016,1.026773724,0.354277,-0.673185,-0.206319
02-24-03 987,0,0,0,0,-0.207123,0,1.001465,0,-0.091827,0,0,1.026773724,0.607287,-0.715553,0.189257
02-24-04 036,0,0,0,0,-0.207123,0,1.001465,0,-0.091827,0,0,1.026773724,0.607287,-0.715553,0.189257
02-24-04 095,0,0,0,0,-0.207123,0,1.001465,0,-0.091827,0,0,1.026773724,0.607287,-0.715553,0.189257
02-24-04 145,0,0,0,0,-0.086884,0.120239,0.983932,0.017533,-0.118835,0.027008,0.124475922,0.994883293,0.607287,-0.715553,0.189257
02-24-04 194,0,0,0,0,-0.086884,0,0.983932,0,-0.118835,0,0,0.994883293,0.433476,-0.275485,0.044616
02-24-04 241,0,0,0,0,-0.086884,0,0.983932,0,-0.118835,0,0,0.994883293,0.433476,-0.275485,0.044616
02-24-04 300,0,0,0,0,-0.086884,0,0.983932,0,-0.118835,0,0,0.994883293,0.433476,-0.275485,0.044616
02-24-04 348,0,0,0,0,-0.144531,0.057647,0.977585,0.006347,-0.076431,0.042404,0.071843999,0.99116262,0.433476,-0.275485,0.044616
02-24-04 397,0,0,0,0,-0.144531,0,0.977585,0,-0.076431,0,0,0.99116262,0.203703,-0.225232,0.189451
02-24-04 446,0,0,0,0,-0.144531,0,0.977585,0,-0.076431,0,0,0.99116262,0.203703,-0.225232,0.189451
02-24-04 505,0,0,0,0,-0.144531,0,0.977585,0,-0.076431,0,0,0.99116262,0.203703,-0.225232,0.189451
02-24-04 554,0,0,0.04,0.04,-0.283432,0.138901,1.178482,0.200897,-0.033417,0.043014,0.247998582,1.212546997,-0.464814,-0.70237,0.05797
02-24-04 602,0,0,0.04,0.08,-0.283432,0,1.178482,0,-0.033417,0,0,1.212546997,-0.464814,-0.70237,0.05797
02-24-04 661,0,0,0.04,0.08,-0.283432,0,1.178482,0,-0.033417,0,0,1.212546997,-0.464814,-0.70237,0.05797
02-24-04 710,0,0,0.24,0.2,-0.283432,0,1.178482,0,-0.033417,0,0,1.212546997,-0.464814,-0.70237,0.05797
02-24-04 759,0,0,0.24,0.32,-0.196198,0.087234,1.198349,0.019867,-0.096329,0.062912,0.109372703,1.218118737,-1.528612,-0.100274,-0.848487
02-24-04 808,0,0,0.32,0.24,-0.196198,0,1.198349,0,-0.096329,0,0,1.218118737,-1.528612,-0.100274,-0.848487
02-24-04 867,0,0,0.24,0.24,-0.196198,0,1.198349,0,-0.096329,0,0,1.218118737,-1.528612,-0.100274,-0.848487
02-24-04 915,0,0,0.24,0.16,-0.196198,0,1.198349,0,-0.096329,0,0,1.218118737,-1.528612,-0.100274,-0.848487
02-24-04 964,0,0,0.24,0.16,-0.066742,0.129456,0.823212,0.375137,0.211685,0.308014,0.502353709,0.852609542,0.038399,-0.733247,-0.489825
02-24-05 012,0,0,0.12,0.12,-0.066742,0,0.823212,0,0.211685,0,0,0.852609542,0.038399,-0.733247,-0.489825
02-24-05 071,0,0,0,0,-0.066742,0,0.823212,0,0.211685,0,0,0.852609542,0.038399,-0.733247,-0.489825
02-24-05 122,0,0,0,0,-0.066742,0,0.823212,0,0.211685,0,0,0.852609542,0.038399,-0.733247,-0.489825
02-24-05 169,0,0,0,0,-0.452408,0.385666,0.973465,0.150253,0.348328,0.136643,0.435873304,1.128556379,0.60095,0.014032,0.28617
02-24-05 227,0,0,0,0,-0.452408,0,0.973465,0,0.348328,0,0,1.128556379,0.60095,0.014032,0.28617
02-24-05 276,0,0,0,0,-0.452408,0,0.973465,0,0.348328,0,0,1.128556379,0.60095,0.014032,0.28617
02-24-05 325,0,0,0,0,-0.452408,0,0.973465,0,0.348328,0,0,1.128556379,0.60095,0.014032,0.28617
02-24-05 375,0,0,0,0,-0.218842,0.233566,0.860657,0.112808,-0.001984,0.350312,0.435886704,0.888046299,0.456103,-0.015132,0.282749
02-24-05 434,0,0,0,0,-0.218842,0,0.860657,0,-0.001984,0,0,0.888046299,0.456103,-0.015132,0.282749
02-24-05 481,0,0,0,0,-0.218842,0,0.860657,0,-0.001984,0,0,0.888046299,0.456103,-0.015132,0.282749
02-24-05 532,0,0,0,0,-0.218842,0,0.860657,0,-0.001984,0,0,0.888046299,0.456103,-0.015132,0.282749
02-24-05 579,0,0,0,0,-0.066208,0.152634,0.953018,0.092361,-0.206985,0.205001,0.271759273,0.977481252,0.524577,0.389913,-0.043724
02-24-05 638,0,0,0,0,-0.066208,0,0.953018,0,-0.206985,0,0,0.977481252,0.524577,0.389913,-0.043724
02-24-05 686,0,0,0,0,-0.066208,0,0.953018,0,-0.206985,0,0,0.977481252,0.524577,0.389913,-0.043724
02-24-05 735,0,0,0,0,-0.066208,0,0.953018,0,-0.206985,0,0,0.977481252,0.524577,0.389913,-0.043724
02-24-05 784,0,0,0,0,-0.184128,0.11792,1.021301,0.068283,-0.003082,0.203903,0.245242998,1.037770857,0.350392,0.510835,0.424983
02-24-05 843,0,0,0,0,-0.184128,0,1.021301,0,-0.003082,0,0,1.037770857,0.350392,0.510835,0.424983
02-24-05 891,0,0,0.04,0,-0.184128,0,1.021301,0,-0.003082,0,0,1.037770857,0.350392,0.510835,0.424983
02-24-05 940,0,0,0.48,0.12,-0.184128,0,1.021301,0,-0.003082,0,0,1.037770857,0.350392,0.510835,0.424983
02-24-06 000,0,0,0.6,0.12,-0.138428,0.0457,1.121597,0.100296,0.166748,0.16983,0.202459889,1.142342784,-2.462873,-0.487843,-0.245208
02-24-06 048,0,0,0.68,0.12,-0.138428,0,1.121597,0,0.166748,0,0,1.142342784,-2.462873,-0.487843,-0.245208
02-24-06 097,0,0,0.6,0.12,-0.138428,0,1.121597,0,0.166748,0,0,1.142342784,-2.462873,-0.487843,-0.245208
02-24-06 146,0,0,0.32,0.08,-0.138428,0,1.121597,0,0.166748,0,0,1.142342784,-2.462873,-0.487843,-0.245208
02-24-06 204,0,0,0.12,0.04,0.042969,0.181397,0.836151,0.285446,-0.048279,0.215027,0.400775375,0.838645152,-0.920824,-1.366823,-1.225178
02-24-06 253,0,0,0.04,0,0.042969,0,0.836151,0,-0.048279,0,0,0.838645152,-0.920824,-1.366823,-1.225178
02-24-06 302,0,0,0,0,0.042969,0,0.836151,0,-0.048279,0,0,0.838645152,-0.920824,-1.366823,-1.225178
02-24-06 360,0,0,0,0,-0.355545,0.398514,0.940094,0.103943,0.456894,0.505173,0.651780113,1.104056658,-0.920824,-1.366823,-1.225178
02-24-06 409,0,0.08,0.08,0,-0.355545,0,0.940094,0,0.456894,0,0,1.104056658,0.780651,-0.163669,0.54005
02-24-06 458,0,0,0,0,-0.355545,0,0.940094,0,0.456894,0,0,1.104056658,0.780651,-0.163669,0.54005
02-24-06 516,0,0,0,0,-0.355545,0,0.940094,0,0.456894,0,0,1.104056658,0.780651,-0.163669,0.54005
02-24-06 565,0,0,0,0,-0.275986,0.079559,0.581482,0.358612,-0.399948,0.856842,0.932260915,0.757791522,0.559353,1.006875,0.641615
02-24-06 614,0,0,0,0,-0.275986,0,0.581482,0,-0.399948,0,0,0.757791522,0.559353,1.006875,0.641615
02-24-06 663,0,0,0,0,-0.275986,0,0.581482,0,-0.399948,0,0,0.757791522,0.559353,1.006875,0.641615
02-24-06 712,0,0,0,0,-0.275986,0,0.581482,0,-0.399948,0,0,0.757791522,0.559353,1.006875,0.641615
02-24-06 771,0,0,0,0,-0.233383,0.042603,0.919998,0.338516,-0.034088,0.36586,0.500261569,0.94975046,0.487369,-0.828028,0.037989
02-24-06 819,0,0,0,0,-0.233383,0,0.919998,0,-0.034088,0,0,0.94975046,0.487369,-0.828028,0.037989
02-24-06 868,0,0,0,0,-0.233383,0,0.919998,0,-0.034088,0,0,0.94975046,0.487369,-0.828028,0.037989
02-24-06 927,0,0,0,0,-0.233383,0,0.919998,0,-0.034088,0,0,0.94975046,0.487369,-0.828028,0.037989
02-24-06 975,0,0,0,0,-0.297684,0.064301,1.096817,0.176819,0.09668,0.130768,0.229128451,1.140600858,0.940362,0.367048,0.551721
02-24-07 024,0,0,0,0,-0.297684,0,1.096817,0,0.09668,0,0,1.140600858,0.940362,0.367048,0.551721
02-24-07 073,0,0,0,0,-0.297684,0,1.096817,0,0.09668,0,0,1.140600858,0.940362,0.367048,0.551721
02-24-07 132,0,0,0.16,0,-0.297684,0,1.096817,0,0.09668,0,0,1.140600858,0.940362,0.367048,0.551721
02-24-07 181,0,0,0.68,0.04,-0.533844,0.23616,1.434479,0.337662,0.182236,0.085556,0.420840826,1.541405001,-1.981264,-1.004622,-0.366093
02-24-07 229,0,0,0.76,0.08,-0.533844,0,1.434479,0,0.182236,0,0,1.541405001,-1.981264,-1.004622,-0.366093
02-24-07 288,0,0,0.56,0.16,-0.533844,0,1.434479,0,0.182236,0,0,1.541405001,-1.981264,-1.004622,-0.366093
02-24-07 337,0,0,0.2,0.08,-0.533844,0,1.434479,0,0.182236,0,0,1.541405001,-1.981264,-1.004622,-0.366093
02-24-07 386,0,0,0.04,0,0.227524,0.761368,0.702866,0.731613,-0.09079,0.273026,1.090633765,0.744332324,-1.465019,-1.751841,-1.274886
02-24-07 434,0,0,0.08,0,0.227524,0,0.702866,0,-0.09079,0,0,0.744332324,-1.465019,-1.751841,-1.274886
02-24-07 493,0,0,0,0,0.227524,0,0.702866,0,-0.09079,0,0,0.744332324,-1.465019,-1.751841,-1.274886
02-24-07 542,0,0,0,0,0.227524,0,0.702866,0,-0.09079,0,0,0.744332324,-1.465019,-1.751841,-1.274886
02-24-07 591,0,0,0,0,-0.126617,0.354141,0.962662,0.259796,0.355591,0.446381,0.626231432,1.034018835,1.020256,0.102078,0.442031
