,,,,,x,xdiff,y,ydiff,z,zdiff,adiff,asqur,,,
02-25-01 320,0,0,0,0.08,0,,0,,0,,,,0,0,0
02-25-01 325,0,0,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0
02-25-01 352,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0
02-25-01 401,0,0,0.08,0.04,0,0,0,0,0,0,0,0,0,0,0
02-25-01 459,0,0,0.08,0.04,0,0,0,0,0,0,0,0,0,0,0
02-25-01 509,0,0,0.04,0.08,-1.811874,1.811874,0.673874,0.673874,-0.307114,0.307114,1.957373896,1.957373896,0,0,0
02-25-01 558,0,0,0.04,0.04,-1.811874,0,0.673874,0,-0.307114,0,0,1.957373896,0,0,0
02-25-01 616,0,0,0.04,0.04,-1.811874,0,0.673874,0,-0.307114,0,0,1.957373896,0,0,0
02-25-01 665,0,0,0.08,0.08,-1.811874,0,0.673874,0,-0.307114,0,0,1.957373896,0,0,0
02-25-01 713,0,0,0,0,-1.407166,0.404708,0.520264,0.15361,0.023956,0.33107,0.544969671,1.500454821,0,0,0
02-25-01 763,0,0,0.04,0.04,-1.407166,0,0.520264,0,0.023956,0,0,1.500454821,-0.552361,0.570111,-1.676704
02-25-01 821,0,0,0,0,-1.407166,0,0.520264,0,0.023956,0,0,1.500454821,-0.552361,0.570111,-1.676704
02-25-01 869,0,0,0,0.04,-1.407166,0,0.520264,0,0.023956,0,0,1.500454821,-0.552361,0.570111,-1.676704
02-25-01 919,0,0,0,0,-1.407166,0,0.520264,0,0.023956,0,0,1.500454821,-0.552361,0.570111,-1.676704
02-25-01 967,0,0,0,0,-0.728943,0.678223,0.643814,0.12355,-0.248566,0.272522,0.741295677,1.003812443,-0.552361,0.570111,-1.676704
02-25-02 026,0,0,0,0.04,-0.728943,0,0.643814,0,-0.248566,0,0,1.003812443,-0.552361,0.570111,-1.676704
02-25-02 075,0,0,0,0,-0.728943,0,0.643814,0,-0.248566,0,0,1.003812443,-0.552361,0.570111,-1.676704
02-25-02 124,0,0,0,0,-0.728943,0,0.643814,0,-0.248566,0,0,1.003812443,-0.722575,0.90798,0.617486
02-25-02 182,0,0,0,0,-1.034637,0.305694,0.401718,0.242096,-0.059662,0.188904,0.433294376,1.111490273,-0.722575,0.90798,0.617486
02-25-02 231,0,0,0,0,-1.034637,0,0.401718,0,-0.059662,0,0,1.111490273,-0.722575,0.90798,0.617486
02-25-02 280,0,0,0,0,-1.034637,0,0.401718,0,-0.059662,0,0,1.111490273,-0.722575,0.90798,0.617486
02-25-02 329,0,0,0,0,-1.034637,0,0.401718,0,-0.059662,0,0,1.111490273,0.082476,-1.421976,5.499395
02-25-02 388,0,0,0,0,-0.593552,0.441085,3.676208,3.27449,0.440826,0.500488,3.341755373,3.749818235,0.082476,-1.421976,5.499395
02-25-02 436,0,0,0,0,-0.593552,0,3.676208,0,0.440826,0,0,3.749818235,0.082476,-1.421976,5.499395
02-25-02 591,0,0,0,0,-0.201157,0.392395,0.984787,2.691421,-0.121429,0.562255,2.777382134,1.012430035,0.035034,0.075423,-0.080706
02-25-02 595,0,0,0,0,-0.201157,0,0.984787,0,-0.121429,0,0,1.012430035,0.035034,0.075423,-0.080706
02-25-02 598,0,0,0,0,-0.201157,0,0.984787,0,-0.121429,0,0,1.012430035,0.035034,0.075423,-0.080706
02-25-02 641,0.04,0,0,0,-0.201157,0,0.984787,0,-0.121429,0,0,1.012430035,0.035034,0.075423,-0.080706
02-25-02 691,0,0,0,0,-0.201157,0,0.984787,0,-0.121429,0,0,1.012430035,0.035034,0.075423,-0.080706
02-25-02 749,0,0,0,0,-0.201157,0,0.984787,0,-0.121429,0,0,1.012430035,0.053761,-0.045559,-0.012576
02-25-02 798,0,0,0,0.04,-0.205658,0.004501,0.992065,0.007278,-0.130386,0.008957,0.012387741,1.02151294,0.053761,-0.045559,-0.012576
02-25-02 846,0,0,0,0,-0.205658,0,0.992065,0,-0.130386,0,0,1.02151294,0.053761,-0.045559,-0.012576
02-25-02 895,0,0,0,0.04,-0.205658,0,0.992065,0,-0.130386,0,0,1.02151294,0.053761,-0.045559,-0.012576
02-25-02 954,0,0,0,0,-0.205658,0,0.992065,0,-0.130386,0,0,1.02151294,-0.029069,0.016466,-0.008385
02-25-03 003,0,0,0,0,-0.193054,0.012604,0.993347,0.001282,-0.141266,0.01088,0.016699663,1.021745659,-0.029069,0.016466,-0.008385
02-25-03 051,0,0,0,0.04,-0.193054,0,0.993347,0,-0.141266,0,0,1.021745659,-0.029069,0.016466,-0.008385
02-25-03 100,0,0,0,0,-0.193054,0,0.993347,0,-0.141266,0,0,1.021745659,-0.029069,0.016466,-0.008385
02-25-03 160,0,0,0,0,-0.193054,0,0.993347,0,-0.141266,0,0,1.021745659,0.004783,-0.220514,0.283982
02-25-03 208,0,0,0,0,0.007797,0.200851,1.066849,0.073502,-0.025131,0.116135,0.243374211,1.067173439,0.004783,-0.220514,0.283982
02-25-03 257,0,0,0,0.08,0.007797,0,1.066849,0,-0.025131,0,0,1.067173439,0.004783,-0.220514,0.283982
02-25-03 315,0,0,0,0,0.007797,0,1.066849,0,-0.025131,0,0,1.067173439,0.004783,-0.220514,0.283982
02-25-03 364,0,0,0.04,0.04,0.007797,0,1.066849,0,-0.025131,0,0,1.067173439,0.004783,-0.220514,0.283982
02-25-03 413,0,0,0.04,0.04,-0.131699,0.139496,0.962524,0.104325,0.001495,0.026626,0.176215163,0.971493341,-0.330595,1.25556,-0.135821
02-25-03 462,0,0,0.04,0,-0.131699,0,0.962524,0,0.001495,0,0,0.971493341,-0.330595,1.25556,-0.135821
02-25-03 520,0,0,0.04,0.04,-0.131699,0,0.962524,0,0.001495,0,0,0.971493341,-0.330595,1.25556,-0.135821
02-25-03 569,0,0,0.04,0.04,-0.131699,0,0.962524,0,0.001495,0,0,0.971493341,-0.330595,1.25556,-0.135821
02-25-03 618,0,0,0,0.04,-0.144424,0.012725,1.135422,0.172898,-0.093216,0.094711,0.197549532,1.148359975,0.128385,-0.366976,0.169731
02-25-03 667,0,0,0.04,0,-0.144424,0,1.135422,0,-0.093216,0,0,1.148359975,0.128385,-0.366976,0.169731
02-25-03 725,0,0,0.04,0.04,-0.144424,0,1.135422,0,-0.093216,0,0,1.148359975,0.128385,-0.366976,0.169731
02-25-03 774,0,0,0.08,0.04,-0.144424,0,1.135422,0,-0.093216,0,0,1.148359975,0.128385,-0.366976,0.169731
02-25-03 823,0,0,0.04,0.04,0.075287,0.219711,1.128174,0.007248,-0.119156,0.02594,0.221355688,1.136944528,0.249916,-0.658696,0.083902
02-25-03 872,0,0,0.08,0.04,0.075287,0,1.128174,0,-0.119156,0,0,1.136944528,0.249916,-0.658696,0.083902
02-25-03 930,0,0,0.08,0.04,0.075287,0,1.128174,0,-0.119156,0,0,1.136944528,0.249916,-0.658696,0.083902
02-25-03 982,0,0,0.04,0,0.075287,0,1.128174,0,-0.119156,0,0,1.136944528,0.249916,-0.658696,0.083902
02-25-04 028,0,0,0.08,0,-0.019867,0.095154,0.827255,0.300919,-0.054535,0.064621,0.322152762,0.82928861,0.239271,0.187999,-0.205587
02-25-04 087,0,0,0,0,-0.019867,0,0.827255,0,-0.054535,0,0,0.82928861,0.239271,0.187999,-0.205587
02-25-04 136,0,0,0.08,0,-0.019867,0,0.827255,0,-0.054535,0,0,0.82928861,0.239271,0.187999,-0.205587
02-25-04 185,0,0,0.08,0.04,-0.019867,0,0.827255,0,-0.054535,0,0,0.82928861,0.239271,0.187999,-0.205587
02-25-04 233,0,0,0.04,0,0.097733,0.1176,0.807144,0.020111,-0.247711,0.193176,0.227048848,0.849937595,-0.141291,0.112696,0.168146
02-25-04 292,0,0,0.04,0,0.097733,0,0.807144,0,-0.247711,0,0,0.849937595,-0.141291,0.112696,0.168146
02-25-04 341,0,0,0.04,0.04,0.097733,0,0.807144,0,-0.247711,0,0,0.849937595,-0.141291,0.112696,0.168146
02-25-04 385,0,0,0.08,0.04,0.097733,0,0.807144,0,-0.247711,0,0,0.849937595,-0.141291,0.112696,0.168146
02-25-04 438,0,0,0,0,-0.212219,0.309952,1.13295,0.325806,-0.48317,0.235459,0.507602928,1.24982633,0.292464,0.819528,-1.704585
02-25-04 497,0,0,0.04,0.04,-0.212219,0,1.13295,0,-0.48317,0,0,1.24982633,0.292464,0.819528,-1.704585
02-25-04 547,0,0,0.04,0,-0.212219,0,1.13295,0,-0.48317,0,0,1.24982633,0.292464,0.819528,-1.704585
02-25-04 596,0,0,0.04,0,-0.047195,0.165024,1.099182,0.033768,-0.198013,0.285157,0.331191354,1.1178719,0.292464,0.819528,-1.704585
02-25-04 657,0,0,0,0.04,-0.047195,0,1.099182,0,-0.198013,0,0,1.1178719,-0.070082,0.211179,-2.320743
02-25-04 702,0,0,0.04,0,-0.047195,0,1.099182,0,-0.198013,0,0,1.1178719,-0.070082,0.211179,-2.320743
02-25-04 752,0,0,0.04,0.04,-0.047195,0,1.099182,0,-0.198013,0,0,1.1178719,-0.070082,0.211179,-2.320743
02-25-04 800,0,0,0.04,0,-0.141922,0.094727,0.549973,0.549209,-0.052582,0.145431,0.575980821,0.570418286,-0.070082,0.211179,-2.320743
02-25-04 858,0,0,0.04,0.04,-0.141922,0,0.549973,0,-0.052582,0,0,0.570418286,1.557198,3.593788,0.020821
02-25-04 907,0,0,0.08,0.04,-0.141922,0,0.549973,0,-0.052582,0,0,0.570418286,1.557198,3.593788,0.020821
02-25-04 958,0,0,0.08,0.04,-0.141922,0,0.549973,0,-0.052582,0,0,0.570418286,1.557198,3.593788,0.020821
