,,,,,X,absX,xdiff,Y,absY,ydiff,Z,absZ,zdiff,adiff,,,
10-14-40 346,0,0,0,0.12,0.447525,0.447525,0,-0.405563,0.405563,0,-1.002777,1.002777,0,0,-1.46638,-0.144428,-0.875333
10-14-40 349,0,0,0,0.12,0.447525,0.447525,0,-0.405563,0.405563,0,-1.002777,1.002777,0,0,-1.46638,-0.144428,-0.875333
10-14-40 387,0,0,0,0.08,0.265182,0.265182,0.182343,-0.21048,0.21048,0.195083,-0.854462,0.854462,0.148315,0.30545652,-1.46638,-0.144428,-0.875333
10-14-40 392,0,0,0,0.08,0.265182,0.265182,0,-0.21048,0.21048,0,-0.854462,0.854462,0,0,-1.46638,-0.144428,-0.875333
10-14-40 395,0,0,0,0.08,0.265182,0.265182,0,-0.21048,0.21048,0,-0.854462,0.854462,0,0,-1.46638,-0.144428,-0.875333
10-14-40 397,0,0,0,0.08,0.265182,0.265182,0,-0.21048,0.21048,0,-0.854462,0.854462,0,0,-1.46638,-0.144428,-0.875333
10-14-40 400,0,0,0,0.08,0.265182,0.265182,0,-0.21048,0.21048,0,-0.854462,0.854462,0,0,-1.46638,-0.144428,-0.875333
10-14-40 403,0,0,0,0.04,0.265182,0.265182,0,-0.21048,0.21048,0,-0.854462,0.854462,0,0,-1.46638,-0.144428,-0.875333
10-14-40 407,0,0,0,0,0.265182,0.265182,0,-0.21048,0.21048,0,-0.854462,0.854462,0,0,-1.46638,-0.144428,-0.875333
10-14-40 416,0,0,0,0,0.265182,0.265182,0,-0.21048,0.21048,0,-0.854462,0.854462,0,0,-1.46638,-0.144428,-0.875333
10-14-40 424,0,0,0,0,0.265182,0.265182,0,-0.21048,0.21048,0,-0.854462,0.854462,0,0,-1.46638,-0.144428,-0.875333
10-14-40 445,0,0,0,0,0.265182,0.265182,0,-0.21048,0.21048,0,-0.854462,0.854462,0,0,-1.46638,-0.144428,-0.875333
10-14-40 503,0,0,0,0,0.265182,0.265182,0,-0.21048,0.21048,0,-0.854462,0.854462,0,0,-1.46638,-0.144428,-0.875333
10-14-40 553,0,0,0,0,0.265182,0.265182,0,-0.21048,0.21048,0,-0.854462,0.854462,0,0,0.452302,-3.654317,1.667533
10-14-40 601,0,0,0,0,0.216202,0.216202,0.04898,-0.203918,0.203918,0.006562,-1.13681,1.13681,0.282348,0.286640007,0.452302,-3.654317,1.667533
10-14-40 660,0,0,0,0,0.216202,0.216202,0,-0.203918,0.203918,0,-1.13681,1.13681,0,0,0.452302,-3.654317,1.667533
10-14-40 818,0,0,0,0,-0.451874,0.451874,0.668076,0.369675,0.369675,0.573593,-0.522324,0.522324,0.614486,1.073744623,0.663019,-4.4492,-0.019564
10-14-40 821,0,0,0,0,-0.451874,0.451874,0,0.369675,0.369675,0,-0.522324,0.522324,0,0,0.663019,-4.4492,-0.019564
10-14-40 824,0,0,0,0,-0.451874,0.451874,0,0.369675,0.369675,0,-0.522324,0.522324,0,0,0.663019,-4.4492,-0.019564
10-14-40 865,0.08,0,0,0.08,-0.451874,0.451874,0,0.369675,0.369675,0,-0.522324,0.522324,0,0,0.663019,-4.4492,-0.019564
10-14-40 913,0,0,0,0.2,-0.451874,0.451874,0,0.369675,0.369675,0,-0.522324,0.522324,0,0,0.156942,-2.705183,4.055345
10-14-40 962,0,0,0.08,0.4,-0.451874,0.451874,0,0.369675,0.369675,0,-0.522324,0.522324,0,0,0.156942,-2.705183,4.055345
10-14-41 020,0,0,0.16,0.48,-1.378159,1.378159,0.926285,0.878128,0.878128,0.508453,-0.767914,0.767914,0.24559,1.084823858,0.156942,-2.705183,4.055345
10-14-41 070,0,0,0.24,0.68,-1.378159,1.378159,0,0.878128,0.878128,0,-0.767914,0.767914,0,0,0.156942,-2.705183,4.055345
10-14-41 118,0,0,0.28,0.76,-1.378159,1.378159,0,0.878128,0.878128,0,-0.767914,0.767914,0,0,2.011685,0.591607,2.082263
10-14-41 168,0,0,0.16,0.68,-1.378159,1.378159,0,0.878128,0.878128,0,-0.767914,0.767914,0,0,2.011685,0.591607,2.082263
10-14-41 226,0,0,0.04,0.44,-0.850754,0.850754,0.527405,0.57399,0.57399,0.304138,-0.057556,0.057556,0.710358,0.935555688,2.011685,0.591607,2.082263
10-14-41 275,0,0,0,0.28,-0.850754,0.850754,0,0.57399,0.57399,0,-0.057556,0.057556,0,0,2.011685,0.591607,2.082263
10-14-41 324,0,0,0,0.2,-0.850754,0.850754,0,0.57399,0.57399,0,-0.057556,0.057556,0,0,0.164401,-2.460813,-1.568405
10-14-41 373,0,0.08,0,0.08,-0.850754,0.850754,0,0.57399,0.57399,0,-0.057556,0.057556,0,0,0.164401,-2.460813,-1.568405
10-14-41 431,0,0.12,0,0,-0.251434,0.251434,0.59932,0.851837,0.851837,0.277847,-0.323166,0.323166,0.26561,0.711991636,0.164401,-2.460813,-1.568405
10-14-41 479,0,0.16,0,0.04,-0.251434,0.251434,0,0.851837,0.851837,0,-0.323166,0.323166,0,0,0.164401,-2.460813,-1.568405
10-14-41 529,0,0.16,0,0.04,-0.251434,0.251434,0,0.851837,0.851837,0,-0.323166,0.323166,0,0,-2.044213,0.968364,-0.864234
10-14-41 578,0,0.16,0,0.04,-0.251434,0.251434,0,0.851837,0.851837,0,-0.323166,0.323166,0,0,-2.044213,0.968364,-0.864234
10-14-41 636,0,0.12,0,0.08,-0.68187,0.68187,0.430436,0.69252,0.69252,0.159317,0.215225,0.215225,0.538391,0.707475742,-2.044213,0.968364,-0.864234
10-14-41 685,0,0.08,0,0.2,-0.68187,0.68187,0,0.69252,0.69252,0,0.215225,0.215225,0,0,-2.044213,0.968364,-0.864234
10-14-41 734,0,0,0,0.08,-0.68187,0.68187,0,0.69252,0.69252,0,0.215225,0.215225,0,0,0.560567,0.444922,3.943377
10-14-41 792,0,0,0,0.08,-0.68187,0.68187,0,0.69252,0.69252,0,0.215225,0.215225,0,0,0.560567,0.444922,3.943377
10-14-41 841,0,0,0,0,-0.123062,0.123062,0.558808,0.96463,0.96463,0.27211,0.027618,0.027618,0.187607,0.649235411,0.560567,0.444922,3.943377
10-14-41 890,0,0,0,0,-0.123062,0.123062,0,0.96463,0.96463,0,0.027618,0.027618,0,0,0.560567,0.444922,3.943377
10-14-41 939,0,0,0,0,-0.123062,0.123062,0,0.96463,0.96463,0,0.027618,0.027618,0,0,1.056505,1.158177,0.89892
10-14-41 998,0,0,0,0,-0.123062,0.123062,0,0.96463,0.96463,0,0.027618,0.027618,0,0,1.056505,1.158177,0.89892
10-14-42 046,0,0,0,0,-0.363251,0.363251,0.240189,0.899033,0.899033,0.065597,-0.346649,0.346649,0.374267,0.449521423,1.056505,1.158177,0.89892
10-14-42 095,0,0,0,0,-0.363251,0.363251,0,0.899033,0.899033,0,-0.346649,0.346649,0,0,1.056505,1.158177,0.89892
10-14-42 144,0,0,0,0,-0.363251,0.363251,0,0.899033,0.899033,0,-0.346649,0.346649,0,0,1.365334,0.806433,-2.213358
10-14-42 212,0,0,0,0,-0.363251,0.363251,0,0.899033,0.899033,0,-0.346649,0.346649,0,0,1.365334,0.806433,-2.213358
10-14-42 252,0,0,0,0,-0.363251,0.363251,0,0.899033,0.899033,0,-0.346649,0.346649,0,0,1.365334,0.806433,-2.213358
10-14-42 300,0,0,0,0,-0.886383,0.886383,0.523132,0.79184,0.79184,0.107193,-0.378433,0.378433,0.031784,0.5349464,1.365334,0.806433,-2.213358
10-14-42 359,0,0,0,0,-0.886383,0.886383,0,0.79184,0.79184,0,-0.378433,0.378433,0,0,0.158498,-0.889912,-0.686706
10-14-42 408,0,0,0,0,-0.886383,0.886383,0,0.79184,0.79184,0,-0.378433,0.378433,0,0,0.158498,-0.889912,-0.686706
10-14-42 457,0,0,0,0,-0.886383,0.886383,0,0.79184,0.79184,0,-0.378433,0.378433,0,0,0.158498,-0.889912,-0.686706
10-14-42 505,0,0,0,0,-0.878708,0.878708,0.007675,0.455643,0.455643,0.336197,-0.15094,0.15094,0.227493,0.406005411,-0.251011,-0.460999,0.08709
10-14-42 564,0,0,0,0,-0.878708,0.878708,0,0.455643,0.455643,0,-0.15094,0.15094,0,0,-0.251011,-0.460999,0.08709
10-14-42 645,0,0,0,0,-0.878708,0.878708,0,0.455643,0.455643,0,-0.15094,0.15094,0,0,-0.251011,-0.460999,0.08709
10-14-42 663,0,0,0,0,-0.878708,0.878708,0,0.455643,0.455643,0,-0.15094,0.15094,0,0,-0.251011,-0.460999,0.08709
10-14-42 712,0,0,0,0,-0.933365,0.933365,0.054657,0.398697,0.398697,0.056946,-0.098389,0.098389,0.052551,0.094825324,-0.069689,0.514755,0.234491
10-14-42 769,0,0,0,0.08,-0.933365,0.933365,0,0.398697,0.398697,0,-0.098389,0.098389,0,0,-0.069689,0.514755,0.234491
10-14-42 773,0,0,0,0.08,-0.933365,0.933365,0,0.398697,0.398697,0,-0.098389,0.098389,0,0,-0.069689,0.514755,0.234491
10-14-42 821,0,0,0.04,0.12,-0.933365,0.933365,0,0.398697,0.398697,0,-0.098389,0.098389,0,0,-0.069689,0.514755,0.234491
10-14-42 867,0,0,0.12,0.44,-0.933365,0.933365,0,0.398697,0.398697,0,-0.098389,0.098389,0,0,-0.069689,0.514755,0.234491
10-14-42 925,0,0,0.28,0.76,-0.97522,0.97522,0.041855,0.634201,0.634201,0.235504,-0.071152,0.071152,0.027237,0.240740169,-1.672495,-1.550281,-0.429904
10-14-42 974,0,0,0.36,0.96,-0.97522,0.97522,0,0.634201,0.634201,0,-0.071152,0.071152,0,0,-1.672495,-1.550281,-0.429904
10-14-43 023,0,0,0.28,0.96,-0.97522,0.97522,0,0.634201,0.634201,0,-0.071152,0.071152,0,0,-1.672495,-1.550281,-0.429904
10-14-43 081,0,0,0.12,0.72,-0.97522,0.97522,0,0.634201,0.634201,0,-0.071152,0.071152,0,0,-1.672495,-1.550281,-0.429904
10-14-43 130,0,0,0,0.36,-0.607071,0.607071,0.368149,0.586212,0.586212,0.047989,0.02919,0.02919,0.100342,0.384584383,0.818108,-0.287025,-0.202308
10-14-43 179,0,0.08,0,0.16,-0.607071,0.607071,0,0.586212,0.586212,0,0.02919,0.02919,0,0,0.818108,-0.287025,-0.202308
10-14-43 228,0,0.16,0,0.08,-0.607071,0.607071,0,0.586212,0.586212,0,0.02919,0.02919,0,0,0.818108,-0.287025,-0.202308
10-14-43 288,0,0.24,0,0,-0.607071,0.607071,0,0.586212,0.586212,0,0.02919,0.02919,0,0,0.818108,-0.287025,-0.202308
10-14-43 337,0,0.28,0,0.04,-1.366882,1.366882,0.759811,0.233673,0.233673,0.352539,0.144012,0.144012,0.114822,0.845446979,0.730519,0.285053,0.089318
10-14-43 388,0,0.28,0,0.04,-1.366882,1.366882,0,0.233673,0.233673,0,0.144012,0.144012,0,0,0.730519,0.285053,0.089318
10-14-43 538,0,0.44,0.28,0.32,-1.931686,1.931686,0.564804,0.7677,0.7677,0.534027,1.212097,1.212097,1.068085,1.320982196,0.381247,1.204264,0.005263
10-14-43 542,0.04,0.12,0,0,-1.931686,1.931686,0,0.7677,0.7677,0,1.212097,1.212097,0,0,0.381247,1.204264,0.005263
10-14-43 546,0,0,0,0,-1.931686,1.931686,0,0.7677,0.7677,0,1.212097,1.212097,0,0,0.381247,1.204264,0.005263
10-14-43 549,0,0,0,0,-1.931686,1.931686,0,0.7677,0.7677,0,1.212097,1.212097,0,0,0.381247,1.204264,0.005263
10-14-43 553,0.04,0.12,0,0,-1.931686,1.931686,0,0.7677,0.7677,0,1.212097,1.212097,0,0,0.381247,1.204264,0.005263
10-14-43 719,0,0,0,0,-1.931686,1.931686,0,0.7677,0.7677,0,1.212097,1.212097,0,0,0.381247,1.204264,0.005263
10-14-43 725,0,0,0,0,-1.931686,1.931686,0,0.7677,0.7677,0,1.212097,1.212097,0,0,0.381247,1.204264,0.005263
10-14-43 731,0,0,0,0,-1.931686,1.931686,0,0.7677,0.7677,0,1.212097,1.212097,0,0,0.381247,1.204264,0.005263
10-14-43 750,0.08,0,0,0,-1.931686,1.931686,0,0.7677,0.7677,0,1.212097,1.212097,0,0,0.720763,0.205534,0.277607
10-14-43 914,0,0,0,0,-0.968277,0.968277,0.963409,0.285889,0.285889,0.481811,0.005768,0.005768,1.206329,1.617259533,-0.406418,0.348506,-0.438758
10-14-43 922,0,0,0,0,-0.968277,0.968277,0,0.285889,0.285889,0,0.005768,0.005768,0,0,-0.406418,0.348506,-0.438758
10-14-43 929,0,0,0,0,-0.968277,0.968277,0,0.285889,0.285889,0,0.005768,0.005768,0,0,-0.406418,0.348506,-0.438758
10-14-43 995,0.08,0,0,0,-0.862839,0.862839,0.105438,0.48793,0.48793,0.202041,-0.176926,0.176926,0.182694,0.292087034,-0.406418,0.348506,-0.438758
10-14-44 003,0,0,0,0,-0.862839,0.862839,0,0.48793,0.48793,0,-0.176926,0.176926,0,0,-0.406418,0.348506,-0.438758
10-14-44 064,0,0,0,0,-0.862839,0.862839,0,0.48793,0.48793,0,-0.176926,0.176926,0,0,-0.406418,0.348506,-0.438758
10-14-44 107,0,0,0,0,-0.862839,0.862839,0,0.48793,0.48793,0,-0.176926,0.176926,0,0,0.414562,0.174416,-0.00288
10-14-44 156,0,0,0,0,-0.857208,0.857208,0.005631,0.447571,0.447571,0.040359,-0.119446,0.119446,0.05748,0.070459261,0.414562,0.174416,-0.00288
10-14-44 209,0,0,0,0,-0.857208,0.857208,0,0.447571,0.447571,0,-0.119446,0.119446,0,0,0.414562,0.174416,-0.00288
10-14-44 263,0,0,0,0,-0.857208,0.857208,0,0.447571,0.447571,0,-0.119446,0.119446,0,0,0.414562,0.174416,-0.00288
10-14-44 312,0,0,0,0,-0.857208,0.857208,0,0.447571,0.447571,0,-0.119446,0.119446,0,0,-0.101241,-0.35001,0.281985
10-14-44 361,0,0,0,0,-0.972595,0.972595,0.115387,0.426727,0.426727,0.020844,-0.228836,0.228836,0.10939,0.160358362,-0.101241,-0.35001,0.281985
10-14-44 410,0,0,0,0,-0.972595,0.972595,0,0.426727,0.426727,0,-0.228836,0.228836,0,0,-0.101241,-0.35001,0.281985
10-14-44 469,0,0,0,0.12,-0.972595,0.972595,0,0.426727,0.426727,0,-0.228836,0.228836,0,0,-0.101241,-0.35001,0.281985
10-14-44 518,0,0,0.04,0.16,-0.972595,0.972595,0,0.426727,0.426727,0,-0.228836,0.228836,0,0,-1.074252,-1.721853,0.266311
10-14-44 567,0,0,0.24,0.6,-1.002975,1.002975,0.03038,0.702255,0.702255,0.275528,-0.310349,0.310349,0.081513,0.288934235,-1.074252,-1.721853,0.266311
10-14-44 625,0,0,0.32,0.72,-1.002975,1.002975,0,0.702255,0.702255,0,-0.310349,0.310349,0,0,-1.074252,-1.721853,0.266311
10-14-44 673,0,0,0.12,0.44,-1.002975,1.002975,0,0.702255,0.702255,0,-0.310349,0.310349,0,0,-1.074252,-1.721853,0.266311
10-14-44 722,0,0.04,0,0.12,-1.002975,1.002975,0,0.702255,0.702255,0,-0.310349,0.310349,0,0,0.606363,-0.612352,-0.493893
10-14-44 771,0,0.08,0,0,-0.555481,0.555481,0.447494,0.634109,0.634109,0.068146,0.055573,0.055573,0.365922,0.582059849,0.606363,-0.612352,-0.493893
10-14-44 830,0,0.24,0,0,-0.555481,0.555481,0,0.634109,0.634109,0,0.055573,0.055573,0,0,0.606363,-0.612352,-0.493893
10-14-44 878,0,0.32,0,0,-0.555481,0.555481,0,0.634109,0.634109,0,0.055573,0.055573,0,0,0.606363,-0.612352,-0.493893
10-14-44 927,0,0.44,0,0,-0.555481,0.555481,0,0.634109,0.634109,0,0.055573,0.055573,0,0,0.247276,0.736139,0.266895
10-14-44 986,0,0.48,0,0,-1.177048,1.177048,0.621567,0.406677,0.406677,0.227432,0.209976,0.209976,0.154403,0.679640447,0.247276,0.736139,0.266895
10-14-45 035,0,0.44,0,0,-1.177048,1.177048,0,0.406677,0.406677,0,0.209976,0.209976,0,0,0.247276,0.736139,0.266895
10-14-45 083,0,0.48,0,0,-1.177048,1.177048,0,0.406677,0.406677,0,0.209976,0.209976,0,0,0.247276,0.736139,0.266895
10-14-45 133,0,0.4,0,0,-1.177048,1.177048,0,0.406677,0.406677,0,0.209976,0.209976,0,0,0.206021,-0.443048,-0.3311
10-14-45 191,0,0.4,0,0,-0.628326,0.628326,0.548722,0.272919,0.272919,0.133758,-0.039688,0.039688,0.249664,0.617510444,0.206021,-0.443048,-0.3311
10-14-45 240,0,0.4,0,0,-0.628326,0.628326,0,0.272919,0.272919,0,-0.039688,0.039688,0,0,0.206021,-0.443048,-0.3311
10-14-45 289,0,0.28,0,0,-0.628326,0.628326,0,0.272919,0.272919,0,-0.039688,0.039688,0,0,0.206021,-0.443048,-0.3311
10-14-45 337,0,0.08,0,0,-0.628326,0.628326,0,0.272919,0.272919,0,-0.039688,0.039688,0,0,0.881438,1.523737,0.559114
10-14-45 396,0,0,0,0,0.166779,0.166779,0.795105,0.484039,0.484039,0.21112,-0.568054,0.568054,0.528366,0.977718899,0.881438,1.523737,0.559114
10-14-45 445,0,0,0,0,0.166779,0.166779,0,0.484039,0.484039,0,-0.568054,0.568054,0,0,0.881438,1.523737,0.559114
10-14-45 494,0,0,0,0,0.166779,0.166779,0,0.484039,0.484039,0,-0.568054,0.568054,0,0,0.22557,2.63237,0.965884
10-14-45 552,0,0,0,0,0.166779,0.166779,0,0.484039,0.484039,0,-0.568054,0.568054,0,0,0.22557,2.63237,0.965884
10-14-45 601,0,0,0,0,0.166779,0.166779,0,0.484039,0.484039,0,-0.568054,0.568054,0,0,0.22557,2.63237,0.965884
10-14-45 649,0,0,0,0,-1.00177,1.00177,1.168549,0.414749,0.414749,0.06929,-0.175354,0.175354,0.3927,1.234715011,0.22557,2.63237,0.965884
10-14-45 699,0,0,0,0,-1.00177,1.00177,0,0.414749,0.414749,0,-0.175354,0.175354,0,0,-0.652926,0.200534,-0.489334
10-14-45 758,0,0,0,0,-1.00177,1.00177,0,0.414749,0.414749,0,-0.175354,0.175354,0,0,-0.652926,0.200534,-0.489334
10-14-45 806,0,0,0,0,-1.00177,1.00177,0,0.414749,0.414749,0,-0.175354,0.175354,0,0,-0.652926,0.200534,-0.489334
10-14-45 855,0,0,0,0,-0.911957,0.911957,0.089813,0.549194,0.549194,0.134445,-0.160355,0.160355,0.014999,0.162378579,-0.652926,0.200534,-0.489334
10-14-45 904,0,0,0,0,-0.911957,0.911957,0,0.549194,0.549194,0,-0.160355,0.160355,0,0,0.640324,-0.473097,-0.018402
10-14-45 962,0,0,0,0,-0.911957,0.911957,0,0.549194,0.549194,0,-0.160355,0.160355,0,0,0.640324,-0.473097,-0.018402
10-14-46 011,0,0,0,0,-0.911957,0.911957,0,0.549194,0.549194,0,-0.160355,0.160355,0,0,0.640324,-0.473097,-0.018402
10-14-46 060,0,0,0,0,-0.905365,0.905365,0.006592,0.389175,0.389175,0.160019,-0.210739,0.210739,0.050384,0.167893068,0.640324,-0.473097,-0.018402
10-14-46 119,0,0,0,0,-0.905365,0.905365,0,0.389175,0.389175,0,-0.210739,0.210739,0,0,0.014344,-0.171172,0.086725
10-14-46 167,0,0,0,0,-0.905365,0.905365,0,0.389175,0.389175,0,-0.210739,0.210739,0,0,0.014344,-0.171172,0.086725
10-14-46 216,0,0,0,0,-0.905365,0.905365,0,0.389175,0.389175,0,-0.210739,0.210739,0,0,0.014344,-0.171172,0.086725
10-14-46 265,0,0,0,0,-0.935699,0.935699,0.030334,0.41629,0.41629,0.027115,-0.267181,0.267181,0.056442,0.069577828,0.014344,-0.171172,0.086725
10-14-46 324,0,0,0,0,-0.935699,0.935699,0,0.41629,0.41629,0,-0.267181,0.267181,0,0,-0.174672,-0.040301,0.238284
10-14-46 373,0,0,0,0.04,-0.935699,0.935699,0,0.41629,0.41629,0,-0.267181,0.267181,0,0,-0.174672,-0.040301,0.238284
10-14-46 421,0,0,0.92,0.12,-0.935699,0.935699,0,0.41629,0.41629,0,-0.267181,0.267181,0,0,-0.174672,-0.040301,0.238284
10-14-46 480,0,0,0.16,0.52,-0.905075,0.905075,0.030624,0.507385,0.507385,0.091095,0.243591,0.243591,0.510772,0.519734706,-0.174672,-0.040301,0.238284
10-14-46 529,0,0.04,0.4,0.92,-0.905075,0.905075,0,0.507385,0.507385,0,0.243591,0.243591,0,0,-2.007355,-1.657864,-0.217988
10-14-46 578,2,0,0.28,0.88,-0.905075,0.905075,0,0.507385,0.507385,0,0.243591,0.243591,0,0,-2.007355,-1.657864,-0.217988
10-14-46 639,0,0,0.04,0.6,-0.905075,0.905075,0,0.507385,0.507385,0,0.243591,0.243591,0,0,-2.007355,-1.657864,-0.217988
10-14-46 676,0,0,0,0.44,-0.764984,0.764984,0.140091,0.487503,0.487503,0.019882,-0.066315,0.066315,0.309906,0.340679484,-2.007355,-1.657864,-0.217988
10-14-46 734,0,0,0,0.36,-0.764984,0.764984,0,0.487503,0.487503,0,-0.066315,0.066315,0,0,0.89456,-0.597274,-0.349095
10-14-46 785,0,0.04,0,0.32,-0.764984,0.764984,0,0.487503,0.487503,0,-0.066315,0.066315,0,0,0.89456,-0.597274,-0.349095
10-14-46 832,0,0,0,0.32,-0.764984,0.764984,0,0.487503,0.487503,0,-0.066315,0.066315,0,0,0.89456,-0.597274,-0.349095
10-14-46 891,0,0.04,0,0.28,-0.886337,0.886337,0.121353,0.344681,0.344681,0.142822,0.031326,0.031326,0.097641,0.211325434,0.89456,-0.597274,-0.349095
10-14-46 939,0,0.08,0,0.28,-0.886337,0.886337,0,0.344681,0.344681,0,0.031326,0.031326,0,0,0.386751,0.273765,0.189677
10-14-46 988,0,0.08,0,0.24,-0.886337,0.886337,0,0.344681,0.344681,0,0.031326,0.031326,0,0,0.386751,0.273765,0.189677
10-14-47 047,0,0.16,0,0.12,-0.886337,0.886337,0,0.344681,0.344681,0,0.031326,0.031326,0,0,0.386751,0.273765,0.189677
10-14-47 096,0,0.16,0,0.04,-0.676636,0.676636,0.209701,0.484055,0.484055,0.139374,-0.224899,0.224899,0.256225,0.359236512,1.017642,0.64936,0.694533
10-14-47 144,0,0.04,0,0,-0.676636,0.676636,0,0.484055,0.484055,0,-0.224899,0.224899,0,0,1.017642,0.64936,0.694533
10-14-47 193,0,0,0,0,-0.676636,0.676636,0,0.484055,0.484055,0,-0.224899,0.224899,0,0,1.017642,0.64936,0.694533
10-14-47 253,0,0,0,0,-0.676636,0.676636,0,0.484055,0.484055,0,-0.224899,0.224899,0,0,1.017642,0.64936,0.694533
10-14-47 301,0,0,0,0,-1.259293,1.259293,0.582657,0.572815,0.572815,0.08876,-0.527725,0.527725,0.302826,0.662624406,-0.375247,1.360862,0.233017
10-14-47 349,0,0,0,0,-1.259293,1.259293,0,0.572815,0.572815,0,-0.527725,0.527725,0,0,-0.375247,1.360862,0.233017
10-14-47 398,0,0,0,0,-1.259293,1.259293,0,0.572815,0.572815,0,-0.527725,0.527725,0,0,-0.375247,1.360862,0.233017
10-14-47 457,0,0,0,0,-1.259293,1.259293,0,0.572815,0.572815,0,-0.527725,0.527725,0,0,-0.375247,1.360862,0.233017
10-14-47 507,0,0,0,0,-0.894516,0.894516,0.364777,0.41304,0.41304,0.159775,-0.171066,0.171066,0.356659,0.534598871,-0.324689,0.053117,-0.389424
10-14-47 554,0,0,0,0,-0.894516,0.894516,0,0.41304,0.41304,0,-0.171066,0.171066,0,0,-0.324689,0.053117,-0.389424
10-14-47 613,0,0,0,0,-0.894516,0.894516,0,0.41304,0.41304,0,-0.171066,0.171066,0,0,-0.324689,0.053117,-0.389424
10-14-47 662,0,0,0,0,-0.894516,0.894516,0,0.41304,0.41304,0,-0.171066,0.171066,0,0,-0.324689,0.053117,-0.389424
10-14-47 816,0,0,0,0,-0.796783,0.796783,0.097733,0.531006,0.531006,0.117966,-0.180969,0.180969,0.009903,0.153511517,0.095878,0.594402,0.300851
10-14-47 822,0,0,0,0,-0.796783,0.796783,0,0.531006,0.531006,0,-0.180969,0.180969,0,0,0.095878,0.594402,0.300851
10-14-47 825,0,0,0,0,-0.796783,0.796783,0,0.531006,0.531006,0,-0.180969,0.180969,0,0,0.095878,0.594402,0.300851
10-14-47 829,0,0,0,0,-0.796783,0.796783,0,0.531006,0.531006,0,-0.180969,0.180969,0,0,0.095878,0.594402,0.300851
10-14-47 834,0,0,0,0,-0.796783,0.796783,0,0.531006,0.531006,0,-0.180969,0.180969,0,0,0.095878,0.594402,0.300851
10-14-47 868,0,0,0,0,-0.796783,0.796783,0,0.531006,0.531006,0,-0.180969,0.180969,0,0,0.095878,0.594402,0.300851
10-14-47 916,0,0,0,0,-1.292496,1.292496,0.495713,0.895721,0.895721,0.364715,-0.187698,0.187698,0.006729,0.615462175,-0.223751,0.460683,0.793502
10-14-47 965,0,0,0,0,-1.292496,1.292496,0,0.895721,0.895721,0,-0.187698,0.187698,0,0,-0.223751,0.460683,0.793502
10-14-48 023,0,0,0,0,-1.292496,1.292496,0,0.895721,0.895721,0,-0.187698,0.187698,0,0,-0.223751,0.460683,0.793502
10-14-48 073,0,0,0.04,0.12,-1.292496,1.292496,0,0.895721,0.895721,0,-0.187698,0.187698,0,0,-0.223751,0.460683,0.793502
10-14-48 121,0,0,0.16,0.36,-1.292496,1.292496,0,0.895721,0.895721,0,-0.187698,0.187698,0,0,-0.85626,-2.490604,0.136879
10-14-48 179,0,0,0.28,0.6,-0.769104,0.769104,0.523392,0.385406,0.385406,0.510315,-0.095917,0.095917,0.091781,0.736738988,-0.85626,-2.490604,0.136879
10-14-48 228,0,0,0.16,0.6,-0.769104,0.769104,0,0.385406,0.385406,0,-0.095917,0.095917,0,0,-0.85626,-2.490604,0.136879
10-14-48 277,0,0,0,0.36,-0.769104,0.769104,0,0.385406,0.385406,0,-0.095917,0.095917,0,0,-0.85626,-2.490604,0.136879
10-14-48 376,0,0,0,0.2,-0.450928,0.450928,0.318176,0.440857,0.440857,0.055451,0.167175,0.167175,0.263092,0.416567138,1.379256,-1.554479,-1.195108
10-14-48 382,0,0,0,0.12,-0.450928,0.450928,0,0.440857,0.440857,0,0.167175,0.167175,0,0,1.379256,-1.554479,-1.195108
10-14-48 434,0,0,0,0.08,-0.450928,0.450928,0,0.440857,0.440857,0,0.167175,0.167175,0,0,1.379256,-1.554479,-1.195108
10-14-48 485,0,0.08,0,0.08,-0.450928,0.450928,0,0.440857,0.440857,0,0.167175,0.167175,0,0,-2.434221,2.679944,-0.861672
10-14-48 531,0,0.08,0,0.08,-0.450928,0.450928,0,0.440857,0.440857,0,0.167175,0.167175,0,0,-2.434221,2.679944,-0.861672
10-14-48 590,0,0.16,0,0.04,-1.547562,1.547562,1.096634,0.706238,0.706238,0.265381,0.138458,0.138458,0.028717,1.128653123,-2.434221,2.679944,-0.861672
10-14-48 639,0,0.16,0,0.04,-1.547562,1.547562,0,0.706238,0.706238,0,0.138458,0.138458,0,0,-2.434221,2.679944,-0.861672
10-14-48 687,0,0.36,0,0,-1.547562,1.547562,0,0.706238,0.706238,0,0.138458,0.138458,0,0,0.923898,-0.469299,0.409366
10-14-48 746,0,0.4,0,0,-1.547562,1.547562,0,0.706238,0.706238,0,0.138458,0.138458,0,0,0.923898,-0.469299,0.409366
10-14-48 795,0,0.52,0,0,-1.015594,1.015594,0.531968,0.485809,0.485809,0.220429,-0.039536,0.039536,0.177994,0.602711176,0.923898,-0.469299,0.409366
10-14-48 843,0,0.36,0,0,-1.015594,1.015594,0,0.485809,0.485809,0,-0.039536,0.039536,0,0,0.923898,-0.469299,0.409366
10-14-48 892,0,0.12,0,0,-1.015594,1.015594,0,0.485809,0.485809,0,-0.039536,0.039536,0,0,0.12436,-0.732419,0.684479
10-14-48 951,0,0,0,0,-1.015594,1.015594,0,0.485809,0.485809,0,-0.039536,0.039536,0,0,0.12436,-0.732419,0.684479
