,,,,,X,absX,xdiff,Y,absY,ydiff,Z,absZ,zdiff,adiff,,,
10-14-32 467,0,0,0,0.44,-0.044586,0.044586,0,-0.549347,0.549347,0,-0.796219,0.796219,0,0,-0.065541,0.11604,-0.084343
10-14-32 515,0,0,0,0.44,-0.044586,0.044586,0,-0.549347,0.549347,0,-0.796219,0.796219,0,0,-0.065541,0.11604,-0.084343
10-14-32 576,0,0,0,0.44,-0.044586,0.044586,0,-0.549347,0.549347,0,-0.796219,0.796219,0,0,-0.065541,0.11604,-0.084343
10-14-32 623,0,0,0,0.4,0.014435,0.014435,0.059021,-0.577286,0.577286,0.027939,-0.790588,0.790588,0.005631,0.065542157,-0.065541,0.11604,-0.084343
10-14-32 671,0,0,0,0.44,0.014435,0.014435,0,-0.577286,0.577286,0,-0.790588,0.790588,0,0,-0.121681,0.085041,-0.123737
10-14-32 730,0,0,0.04,0.44,0.014435,0.014435,0,-0.577286,0.577286,0,-0.790588,0.790588,0,0,-0.121681,0.085041,-0.123737
10-14-32 783,0,0,0,0.48,0.014435,0.014435,0,-0.577286,0.577286,0,-0.790588,0.790588,0,0,-0.121681,0.085041,-0.123737
10-14-32 827,0,0,0,0.44,0.047531,0.047531,0.033096,-0.546692,0.546692,0.030594,-0.806152,0.806152,0.015564,0.047682032,-0.121681,0.085041,-0.123737
10-14-32 876,0,0,0,0.44,0.047531,0.047531,0,-0.546692,0.546692,0,-0.806152,0.806152,0,0,-0.00079,0.329742,-0.014869
10-14-32 937,0,0,0.04,0.44,0.047531,0.047531,0,-0.546692,0.546692,0,-0.806152,0.806152,0,0,-0.00079,0.329742,-0.014869
10-14-32 986,0,0,0,0.48,0.047531,0.047531,0,-0.546692,0.546692,0,-0.806152,0.806152,0,0,-0.00079,0.329742,-0.014869
10-14-33 032,0,0,0,0.48,0.038925,0.038925,0.008606,-0.550079,0.550079,0.003387,-0.665924,0.665924,0.140228,0.140532655,-0.00079,0.329742,-0.014869
10-14-33 091,0,0,0,0.48,0.038925,0.038925,0,-0.550079,0.550079,0,-0.665924,0.665924,0,0,-0.06463,1.751267,-0.104074
10-14-33 140,0,0,0,0.52,0.038925,0.038925,0,-0.550079,0.550079,0,-0.665924,0.665924,0,0,-0.06463,1.751267,-0.104074
10-14-33 190,0,0,0,0.52,0.038925,0.038925,0,-0.550079,0.550079,0,-0.665924,0.665924,0,0,-0.06463,1.751267,-0.104074
10-14-33 237,0,0,0,0.48,0.405121,0.405121,0.366196,-0.611298,0.611298,0.061219,-0.727585,0.727585,0.061661,0.376363329,0.275008,0.456546,0.248843
10-14-33 296,0,0,0.04,0.52,0.405121,0.405121,0,-0.611298,0.611298,0,-0.727585,0.727585,0,0,0.275008,0.456546,0.248843
10-14-33 449,0,0,0,0.48,0.337341,0.337341,0.06778,-0.586441,0.586441,0.024857,-0.679352,0.679352,0.048233,0.086824082,0.36957,0.263914,0.154445
10-14-33 454,0,0,0.04,0.6,0.337341,0.337341,0,-0.586441,0.586441,0,-0.679352,0.679352,0,0,0.36957,0.263914,0.154445
10-14-33 457,0,0,0.04,0.6,0.337341,0.337341,0,-0.586441,0.586441,0,-0.679352,0.679352,0,0,0.36957,0.263914,0.154445
10-14-33 459,0,0,0.04,0.6,0.337341,0.337341,0,-0.586441,0.586441,0,-0.679352,0.679352,0,0,0.36957,0.263914,0.154445
10-14-33 501,0,0,0,0.56,0.337341,0.337341,0,-0.586441,0.586441,0,-0.679352,0.679352,0,0,0.36957,0.263914,0.154445
10-14-33 550,0,0,0.04,0.56,0.337341,0.337341,0,-0.586441,0.586441,0,-0.679352,0.679352,0,0,0.36957,0.263914,0.154445
10-14-33 599,0,0,0,0.52,0.337341,0.337341,0,-0.586441,0.586441,0,-0.679352,0.679352,0,0,0.36957,0.263914,0.154445
10-14-33 657,0,0,0,0.48,0.363464,0.363464,0.026123,-0.668213,0.668213,0.081772,-0.602402,0.602402,0.07695,0.115283883,0.119848,0.136052,0.024289
10-14-33 706,0,0,0,0.48,0.363464,0.363464,0,-0.668213,0.668213,0,-0.602402,0.602402,0,0,0.119848,0.136052,0.024289
10-14-33 755,0,0,0,0.4,0.363464,0.363464,0,-0.668213,0.668213,0,-0.602402,0.602402,0,0,0.119848,0.136052,0.024289
10-14-33 804,0,0,0,0.24,0.363464,0.363464,0,-0.668213,0.668213,0,-0.602402,0.602402,0,0,0.119848,0.136052,0.024289
10-14-33 862,0,0,0,0.12,0.363464,0.363464,0,-0.668213,0.668213,0,-0.602402,0.602402,0,0,-0.425491,-0.182637,-0.054894
10-14-33 911,0,0,0,0.16,0.349106,0.349106,0.014358,-0.659897,0.659897,0.008316,-0.699615,0.699615,0.097213,0.098618839,-0.425491,-0.182637,-0.054894
10-14-33 960,0,0,0,0,0.349106,0.349106,0,-0.659897,0.659897,0,-0.699615,0.699615,0,0,-0.425491,-0.182637,-0.054894
10-14-34 019,0,0,0,0,0.349106,0.349106,0,-0.659897,0.659897,0,-0.699615,0.699615,0,0,-0.425491,-0.182637,-0.054894
10-14-34 068,0,0,0,0,0.349106,0.349106,0,-0.659897,0.659897,0,-0.699615,0.699615,0,0,-0.293725,-0.678591,-0.040418
10-14-34 117,0,0,0,0,0.264297,0.264297,0.084809,-0.557587,0.557587,0.10231,-0.742416,0.742416,0.042801,0.139613138,-0.293725,-0.678591,-0.040418
10-14-34 166,0,0,0,0,0.264297,0.264297,0,-0.557587,0.557587,0,-0.742416,0.742416,0,0,-0.293725,-0.678591,-0.040418
10-14-34 224,0,0,0,0,0.264297,0.264297,0,-0.557587,0.557587,0,-0.742416,0.742416,0,0,-0.293725,-0.678591,-0.040418
10-14-34 272,0,0,0,0,0.264297,0.264297,0,-0.557587,0.557587,0,-0.742416,0.742416,0,0,0.06754,-0.333085,-0.045798
10-14-34 322,0,0,0,0,0.204712,0.204712,0.059585,-0.596878,0.596878,0.039291,-0.738342,0.738342,0.004074,0.071489526,0.06754,-0.333085,-0.045798
10-14-34 370,0,0,0,0,0.204712,0.204712,0,-0.596878,0.596878,0,-0.738342,0.738342,0,0,0.06754,-0.333085,-0.045798
10-14-34 429,0,0,0,0,0.204712,0.204712,0,-0.596878,0.596878,0,-0.738342,0.738342,0,0,-0.074054,-0.274891,-0.044755
10-14-34 478,0,0,0,0.04,0.204712,0.204712,0,-0.596878,0.596878,0,-0.738342,0.738342,0,0,-0.074054,-0.274891,-0.044755
10-14-34 527,0,0,0,0,0.154541,0.154541,0.050171,-0.582993,0.582993,0.013885,-0.811768,0.811768,0.073426,0.090007222,-0.074054,-0.274891,-0.044755
10-14-34 575,0,0,0,0,0.154541,0.154541,0,-0.582993,0.582993,0,-0.811768,0.811768,0,0,-0.074054,-0.274891,-0.044755
10-14-34 634,0,0,0,0,0.154541,0.154541,0,-0.582993,0.582993,0,-0.811768,0.811768,0,0,-0.000338,-0.128468,-0.068877
10-14-34 683,0,0,0,0,0.154541,0.154541,0,-0.582993,0.582993,0,-0.811768,0.811768,0,0,-0.000338,-0.128468,-0.068877
10-14-34 732,0,0,0,0,0.117569,0.117569,0.036972,-0.576416,0.576416,0.006577,-0.826645,0.826645,0.014877,0.040391965,-0.000338,-0.128468,-0.068877
10-14-34 791,0,0,0,0,0.117569,0.117569,0,-0.576416,0.576416,0,-0.826645,0.826645,0,0,-0.000338,-0.128468,-0.068877
10-14-34 839,0,0,0,0,0.117569,0.117569,0,-0.576416,0.576416,0,-0.826645,0.826645,0,0,-0.000338,-0.128468,-0.068877
10-14-34 888,0,0,0,0,0.117569,0.117569,0,-0.576416,0.576416,0,-0.826645,0.826645,0,0,0.015857,-0.387231,-0.086021
10-14-34 937,0,0,0,0,0.051376,0.051376,0.066193,-0.556915,0.556915,0.019501,-0.794403,0.794403,0.032242,0.076166586,0.015857,-0.387231,-0.086021
10-14-34 995,0,0,0,0,0.051376,0.051376,0,-0.556915,0.556915,0,-0.794403,0.794403,0,0,0.015857,-0.387231,-0.086021
10-14-35 044,0,0,0,0,0.051376,0.051376,0,-0.556915,0.556915,0,-0.794403,0.794403,0,0,0.015857,-0.387231,-0.086021
10-14-35 103,0,0,0,0,0.051376,0.051376,0,-0.556915,0.556915,0,-0.794403,0.794403,0,0,-0.071362,-0.143589,-0.048107
10-14-35 142,0,0,0,0,0.020309,0.020309,0.031067,-0.552734,0.552734,0.004181,-0.843475,0.843475,0.049072,0.058229721,-0.071362,-0.143589,-0.048107
10-14-35 209,0,0,0,0,0.020309,0.020309,0,-0.552734,0.552734,0,-0.843475,0.843475,0,0,-0.071362,-0.143589,-0.048107
10-14-35 250,0,0,0,0,0.020309,0.020309,0,-0.552734,0.552734,0,-0.843475,0.843475,0,0,-0.071362,-0.143589,-0.048107
10-14-35 298,0,0,0,0,0.020309,0.020309,0,-0.552734,0.552734,0,-0.843475,0.843475,0,0,0.01593,-0.030432,-0.062297
10-14-35 357,0,0,0,0,0.014618,0.014618,0.005691,-0.548492,0.548492,0.004242,-0.832062,0.832062,0.011413,0.013440187,0.01593,-0.030432,-0.062297
10-14-35 405,0,0,0,0,0.014618,0.014618,0,-0.548492,0.548492,0,-0.832062,0.832062,0,0,0.01593,-0.030432,-0.062297
10-14-35 454,0,0,0,0.08,0.014618,0.014618,0,-0.548492,0.548492,0,-0.832062,0.832062,0,0,0.01593,-0.030432,-0.062297
10-14-35 503,0,0,0,0.08,0.014618,0.014618,0,-0.548492,0.548492,0,-0.832062,0.832062,0,0,0.01593,-0.030432,-0.062297
10-14-35 562,0,0,0,0.04,0.002319,0.002319,0.012299,-0.586914,0.586914,0.038422,-0.81987,0.81987,0.012192,0.042144517,0.093218,0.035851,-0.145462
10-14-35 611,0,0.12,0,0,0.002319,0.002319,0,-0.586914,0.586914,0,-0.81987,0.81987,0,0,0.093218,0.035851,-0.145462
10-14-35 660,0,0.2,0,0,0.002319,0.002319,0,-0.586914,0.586914,0,-0.81987,0.81987,0,0,0.093218,0.035851,-0.145462
10-14-35 708,0,0.32,0,0,0.002319,0.002319,0,-0.586914,0.586914,0,-0.81987,0.81987,0,0,0.093218,0.035851,-0.145462
10-14-35 767,0,0.32,0,0,0.071472,0.071472,0.069153,-0.564285,0.564285,0.022629,-0.832428,0.832428,0.012558,0.073837067,0.04378,-0.083776,0.070925
10-14-35 816,0,0.24,0,0,0.071472,0.071472,0,-0.564285,0.564285,0,-0.832428,0.832428,0,0,0.04378,-0.083776,0.070925
10-14-35 864,0,0.16,0,0,0.071472,0.071472,0,-0.564285,0.564285,0,-0.832428,0.832428,0,0,0.04378,-0.083776,0.070925
10-14-35 923,0,0.04,0.04,0.08,0.071472,0.071472,0,-0.564285,0.564285,0,-0.832428,0.832428,0,0,0.04378,-0.083776,0.070925
10-14-35 972,0,0,0.04,0.12,-0.013443,0.013443,0.084915,-0.578156,0.578156,0.013871,-0.788208,0.788208,0.04422,0.09673867,-0.09074,-0.09552,0.095553
10-14-36 021,0,0,0.04,0.16,-0.013443,0.013443,0,-0.578156,0.578156,0,-0.788208,0.788208,0,0,-0.09074,-0.09552,0.095553
10-14-36 069,0,0,0.08,0.24,-0.013443,0.013443,0,-0.578156,0.578156,0,-0.788208,0.788208,0,0,-0.09074,-0.09552,0.095553
10-14-36 128,0,0,0.16,0.4,-0.013443,0.013443,0,-0.578156,0.578156,0,-0.788208,0.788208,0,0,-0.09074,-0.09552,0.095553
10-14-36 177,0,0,0.2,0.44,-0.056488,0.056488,0.043045,-0.604218,0.604218,0.026062,-0.83168,0.83168,0.043472,0.066497479,-0.087017,-0.210136,0.002764
10-14-36 226,0,0,0.2,0.52,-0.056488,0.056488,0,-0.604218,0.604218,0,-0.83168,0.83168,0,0,-0.087017,-0.210136,0.002764
10-14-36 284,0,0,0.24,0.56,-0.056488,0.056488,0,-0.604218,0.604218,0,-0.83168,0.83168,0,0,-0.087017,-0.210136,0.002764
10-14-36 333,0,0,0.28,0.64,-0.056488,0.056488,0,-0.604218,0.604218,0,-0.83168,0.83168,0,0,-0.103309,-0.233566,-0.023969
10-14-36 383,0,0,0.36,0.8,-0.056488,0.056488,0,-0.604218,0.604218,0,-0.83168,0.83168,0,0,-0.103309,-0.233566,-0.023969
10-14-36 441,0,0,0.48,0.8,-0.094101,0.094101,0.037613,-0.570038,0.570038,0.03418,-0.811874,0.811874,0.019806,0.054546199,-0.103309,-0.233566,-0.023969
