,,,,,x,xdiff,y,ydiff,z,zdiff,adiff,asqur,,,
02-19-08 994,0,0,0,0,0,,0,,0,,,0,0,0,0
02-19-09 001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-19-09 172,0,0,0,0,-0.229141,0.229141,0.781403,0.781403,-0.115799,0.115799,0.822499638,0.822499638,0,0,0
02-19-09 174,0,0,0,0,-0.229141,0,0.781403,0,-0.115799,0,0,0.822499638,0,0,0
02-19-09 180,0,0,0,0,-0.229141,0,0.781403,0,-0.115799,0,0,0.822499638,0,0,0
02-19-09 201,0.04,0,0,0,-0.229141,0,0.781403,0,-0.115799,0,0,0.822499638,0,0,0
02-19-09 249,0,0,0,0,-0.229141,0,0.781403,0,-0.115799,0,0,0.822499638,0,0,0
02-19-09 308,0,0,0,0,-0.229141,0,0.781403,0,-0.115799,0,0,0.822499638,0,0,0
02-19-09 357,0,0,0,0,-1.604156,1.375015,0.923981,0.142578,-0.126877,0.011078,1.382431719,1.855574071,0,0,0
02-19-09 406,0,0,0,0.04,-1.604156,0,0.923981,0,-0.126877,0,0,1.855574071,2.39753,-0.217315,0.829768
02-19-09 457,0,0,0,0.04,-1.604156,0,0.923981,0,-0.126877,0,0,1.855574071,2.39753,-0.217315,0.829768
02-19-09 514,0,0,0,0,-1.604156,0,0.923981,0,-0.126877,0,0,1.855574071,2.39753,-0.217315,0.829768
02-19-09 563,0,0,0,0.04,-1.604156,0,0.923981,0,-0.126877,0,0,1.855574071,2.39753,-0.217315,0.829768
02-19-09 611,0,0,0,0.04,-1.604156,0,0.923981,0,-0.126877,0,0,1.855574071,2.39753,-0.217315,0.829768
02-19-09 660,0,0,0,0.04,-0.570816,1.03334,0.843063,0.080918,-0.254456,0.127579,1.044325466,1.049444607,2.39753,-0.217315,0.829768
02-19-09 718,0,0,0,0.04,-0.570816,0,0.843063,0,-0.254456,0,0,1.049444607,2.39753,-0.217315,0.829768
02-19-09 767,0,0,0,0.04,-0.570816,0,0.843063,0,-0.254456,0,0,1.049444607,-0.869511,-0.267667,0.311082
