Time,s1,s2,s3,s4,x,xdiff,y,ydiff,z,zdiff,adiff,z1,z2,z3
10-17-25 524,0,0.04,0,0.04,0.792206,,0.937759,,0.062927,,,-0.367524,-1.289416,0.994585
10-17-25 574,0,0,0,0.04,0.792206,0,0.937759,0,0.062927,0,0,-0.367524,-1.289416,0.994585
10-17-25 623,0,0,0,0,0.717499,0.074707,0.84816,0.089599,0.183014,0.120087,0.167421636,-5.188799,-5.713402,-0.574453
10-17-25 672,0,0,0,0,0.717499,0,0.84816,0,0.183014,0,0,-5.188799,-5.713402,-0.574453
10-17-25 720,0,0,0,0,0.717499,0,0.84816,0,0.183014,0,0,-5.188799,-5.713402,-0.574453
10-17-25 779,0,0,0,0,0.717499,0,0.84816,0,0.183014,0,0,-5.188799,-5.713402,-0.574453
10-17-25 829,0,0,0,0,0.101151,0.616348,0.324112,0.524048,0.374298,0.191284,0.831324685,1.39863,0.544522,-1.681593
10-17-25 876,0,0,0,0,0.101151,0,0.324112,0,0.374298,0,0,1.39863,0.544522,-1.681593
10-17-25 935,0,0,0,0,0.101151,0,0.324112,0,0.374298,0,0,1.39863,0.544522,-1.681593
10-17-25 984,0,0,0,0,0.101151,0,0.324112,0,0.374298,0,0,1.39863,0.544522,-1.681593
10-17-26 033,0,0,0,0,0.144577,0.043426,0.856201,0.532089,0.042831,0.331467,0.628390717,0.350864,1.701632,-0.248804
10-17-26 082,0,0,0,0,0.144577,0,0.856201,0,0.042831,0,0,0.350864,1.701632,-0.248804
10-17-26 140,0,0,0,0,0.144577,0,0.856201,0,0.042831,0,0,0.350864,1.701632,-0.248804
10-17-26 190,0,0,0,0,0.144577,0,0.856201,0,0.042831,0,0,0.350864,1.701632,-0.248804
10-17-26 238,0,0,0,0,0.04834,0.096237,1.007339,0.151138,-0.017258,0.060089,0.188983976,-0.574007,0.163167,-0.082191
10-17-26 287,0,0,0,0,0.04834,0,1.007339,0,-0.017258,0,0,-0.574007,0.163167,-0.082191
10-17-26 347,0,0,0,0,0.04834,0,1.007339,0,-0.017258,0,0,-0.574007,0.163167,-0.082191
10-17-26 394,0,0,0,0,0.04834,0,1.007339,0,-0.017258,0,0,-0.574007,0.163167,-0.082191
10-17-26 443,0,0,0,0,0.163132,0.114792,1.08812,0.080781,0.11203,0.129288,0.190835427,-0.390692,0.175459,-0.21832
10-17-26 502,0,0,0,0,0.163132,0,1.08812,0,0.11203,0,0,-0.390692,0.175459,-0.21832
10-17-26 552,0,0,0,0,0.163132,0,1.08812,0,0.11203,0,0,-0.390692,0.175459,-0.21832
10-17-26 599,0,0,0,0,0.163132,0,1.08812,0,0.11203,0,0,-0.390692,0.175459,-0.21832
10-17-26 648,0,0,0.2,0.36,-0.003143,0.166275,0.977112,0.111008,0.122223,0.010193,0.200185037,2.327004,-0.229638,-0.066409
10-17-26 707,0,0.04,0,0,-0.003143,0,0.977112,0,0.122223,0,0,2.327004,-0.229638,-0.066409
10-17-26 761,0,0.16,0,0.12,-0.003143,0,0.977112,0,0.122223,0,0,2.327004,-0.229638,-0.066409
10-17-26 804,0,0.28,0,0,-0.003143,0,0.977112,0,0.122223,0,0,2.327004,-0.229638,-0.066409
10-17-26 866,0,0.4,0,0,-0.260178,0.257035,0.897247,0.079865,0.04277,0.079453,0.280638894,0.243042,-1.520255,0.503875
10-17-26 911,0,0.52,0,0,-0.260178,0,0.897247,0,0.04277,0,0,0.243042,-1.520255,0.503875
10-17-26 962,0,0.68,0,0,-0.260178,0,0.897247,0,0.04277,0,0,0.243042,-1.520255,0.503875
10-17-27 010,0,0.76,0,0,-0.260178,0,0.897247,0,0.04277,0,0,-0.613093,-0.315087,-0.029163
10-17-27 068,0,0.8,0,0,0.514267,0.774445,1.224091,0.326844,-0.622192,0.664962,1.071805262,-0.613093,-0.315087,-0.029163
10-17-27 117,0,0.88,0,0,0.514267,0,1.224091,0,-0.622192,0,0,-0.613093,-0.315087,-0.029163
10-17-27 167,0,1.04,0,0,0.514267,0,1.224091,0,-0.622192,0,0,-0.613093,-0.315087,-0.029163
10-17-27 224,0,0.92,0,0,0.514267,0,1.224091,0,-0.622192,0,0,-1.081978,-0.903377,-0.596532
10-17-27 273,0,0.4,0,0,0.313492,0.200775,0.88504,0.339051,-1.165558,0.543366,0.671202496,-1.081978,-0.903377,-0.596532
10-17-27 322,0,0,0,0,0.313492,0,0.88504,0,-1.165558,0,0,-1.081978,-0.903377,-0.596532
10-17-27 372,0,0,0,0,0.313492,0,0.88504,0,-1.165558,0,0,-1.081978,-0.903377,-0.596532
10-17-27 430,0,0,0,0,0.313492,0,0.88504,0,-1.165558,0,0,-0.857245,-0.358027,-3.334986
10-17-27 478,0,0,0,0,0.143585,0.169907,1.016281,0.131241,0.256973,1.422531,1.43864069,-0.857245,-0.358027,-3.334986
10-17-27 527,0,0,0,0,0.143585,0,1.016281,0,0.256973,0,0,-0.857245,-0.358027,-3.334986
10-17-27 579,0,0,0,0,0.143585,0,1.016281,0,0.256973,0,0,-0.857245,-0.358027,-3.334986
10-17-27 635,0,0,0,0,0.143585,0,1.016281,0,0.256973,0,0,-0.374585,0.249141,0.373108
10-17-27 684,0,0,0,0,-0.326416,0.470001,0.944504,0.071777,0.040207,0.216766,0.522532656,-0.374585,0.249141,0.373108
10-17-27 732,0,0,0,0,-0.326416,0,0.944504,0,0.040207,0,0,-0.374585,0.249141,0.373108
10-17-27 785,0,0,0,0,-0.326416,0,0.944504,0,0.040207,0,0,-0.374585,0.249141,0.373108
10-17-27 840,0,0,0,0,-0.326416,0,0.944504,0,0.040207,0,0,-0.321456,0.351948,-0.013389
10-17-27 890,0,0,0,0,-0.110596,0.21582,1.100204,0.1557,0.181686,0.141479,0.301391887,-0.321456,0.351948,-0.013389
10-17-27 937,0,0,0,0,-0.110596,0,1.100204,0,0.181686,0,0,-0.321456,0.351948,-0.013389
10-17-27 986,0,0,0,0,-0.110596,0,1.100204,0,0.181686,0,0,-0.321456,0.351948,-0.013389
10-17-28 045,0,0,0.16,0.4,-0.110596,0,1.100204,0,0.181686,0,0,1.231493,0.327364,-0.044399
10-17-28 093,0,0,0.24,0.88,-0.110596,0,1.100204,0,0.181686,0,0,1.231493,0.327364,-0.044399
10-17-28 146,0,0,0.24,1.04,-0.546783,0.436187,1.284821,0.184617,0.745453,0.563767,0.736325856,1.231493,0.327364,-0.044399
10-17-28 201,0,0,0.08,0.8,-0.546783,0,1.284821,0,0.745453,0,0,1.040013,-0.451385,1.029529
10-17-28 250,0,0,0,0.4,-0.546783,0,1.284821,0,0.745453,0,0,1.040013,-0.451385,1.029529
10-17-28 299,0,0.12,0,0.08,-0.546783,0,1.284821,0,0.745453,0,0,1.040013,-0.451385,1.029529
10-17-28 351,0,0.32,0,0,-0.505173,0.04161,0.675766,0.609055,0.059601,0.685852,0.918189714,1.040013,-0.451385,1.029529
10-17-28 406,0,0.6,0,0,-0.505173,0,0.675766,0,0.059601,0,0,-0.635615,0.078285,-0.259091
10-17-28 455,0,0.72,0,0,-0.505173,0,0.675766,0,0.059601,0,0,-0.635615,0.078285,-0.259091
10-17-28 504,0,0.96,0,0,-0.505173,0,0.675766,0,0.059601,0,0,-0.635615,0.078285,-0.259091
10-17-28 562,0,1.16,0,0,-0.091507,0.413666,1.563202,0.887436,-1.136627,1.196228,1.545840756,-0.635615,0.078285,-0.259091
10-17-28 617,0,1.16,0,0,-0.091507,0,1.563202,0,-1.136627,0,0,-0.066367,-1.664284,-0.097726
10-17-28 665,0,1,0,0,-0.091507,0,1.563202,0,-1.136627,0,0,-0.066367,-1.664284,-0.097726
10-17-28 709,0,0.28,0,0,-0.091507,0,1.563202,0,-1.136627,0,0,-0.066367,-1.664284,-0.097726
10-17-28 767,0,0,0,0,-0.322403,0.230896,0.473434,1.089768,0.24324,1.379867,1.773397923,-0.066367,-1.664284,-0.097726
10-17-28 816,0,0,0,0,-0.322403,0,0.473434,0,0.24324,0,0,-0.245233,2.313533,-1.067015
