,,,,,x,xdiff,y,ydiff,z,zdiff,adiff,asqur,,,
02-20-06 857,0,0,0.12,0.24,-0.135452,0,0.974762,0,0.066177,0,0,0.986350646,0.627753,-1.660647,-0.060371
02-20-06 898,0,0,0.08,0.28,-0.135452,0,0.974762,0,0.066177,0,0,0.986350646,0.627753,-1.660647,-0.060371
02-20-06 947,0,0,0.04,0.16,0.028931,0.164383,0.852356,0.122406,0.046097,0.02008,0.205932528,0.854091732,0.627753,-1.660647,-0.060371
02-20-07 005,0,0,0,0,0.028931,0,0.852356,0,0.046097,0,0,0.854091732,0.627753,-1.660647,-0.060371
02-20-07 054,0,0,0,0,0.028931,0,0.852356,0,0.046097,0,0,0.854091732,0.627753,-1.660647,-0.060371
02-20-07 105,0,0,0,0,-0.023376,0.052307,1.02478,0.172424,0.168076,0.121979,0.217588912,1.038734821,1.161139,-1.421945,0.123123
02-20-07 162,0,0,0,0,-0.023376,0,1.02478,0,0.168076,0,0,1.038734821,1.161139,-1.421945,0.123123
02-20-07 211,0,0,0,0,-0.023376,0,1.02478,0,0.168076,0,0,1.038734821,1.161139,-1.421945,0.123123
02-20-07 267,0,0,0,0,-0.023376,0,1.02478,0,0.168076,0,0,1.038734821,1.161139,-1.421945,0.123123
02-20-07 308,0,0,0,0,-0.134583,0.111207,1.00209,0.02269,-0.098221,0.266297,0.289475258,1.015846601,1.161139,-1.421945,0.123123
02-20-07 366,0,0,0,0,-0.134583,0,1.00209,0,-0.098221,0,0,1.015846601,0.369295,-0.845783,0.206959
02-20-07 415,0,0,0,0,-0.134583,0,1.00209,0,-0.098221,0,0,1.015846601,0.369295,-0.845783,0.206959
02-20-07 464,0,0,0,0,-0.134583,0,1.00209,0,-0.098221,0,0,1.015846601,0.369295,-0.845783,0.206959
02-20-07 513,0,0,0,0,-0.288345,0.153762,1.002441,0.000351,0.044632,0.142853,0.209880574,1.044041576,0.369295,-0.845783,0.206959
02-20-07 572,0,0,0,0,-0.288345,0,1.002441,0,0.044632,0,0,1.044041576,0.171252,-0.206837,0.099421
02-20-07 620,0,0,0,0,-0.288345,0,1.002441,0,0.044632,0,0,1.044041576,0.171252,-0.206837,0.099421
