,,,,,x,xdiff,y,ydiff,z,zdiff,adiff,asqur,,,
02-18-01 698,0,0,0,0.08,0,,0,,0,,,0,0,0,0
02-18-01 703,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
02-18-01 738,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
02-18-01 779,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
02-18-01 828,0,0,0,0.04,-0.080887,0.080887,-0.372467,0.372467,-0.898941,0.898941,0.976406316,0.976406316,0,0,0
02-18-01 877,0,0,0,0,-0.080887,0,-0.372467,0,-0.898941,0,0,0.976406316,0,0,0
02-18-01 960,0,0,0,0,-0.080887,0,-0.372467,0,-0.898941,0,0,0.976406316,0,0,0
02-18-01 986,0,0.08,0,0.08,-0.080887,0,-0.372467,0,-0.898941,0,0,0.976406316,0,0,0
02-18-02 034,0,0,0,0.04,-0.014755,0.066132,-0.319885,0.052582,-0.92662,0.027679,0.088906891,0.98039214,0,0,0
02-18-02 083,0,0,0,0.04,-0.014755,0,-0.319885,0,-0.92662,0,0,0.98039214,0,0,0
02-18-02 142,0,0,0,0,-0.014755,0,-0.319885,0,-0.92662,0,0,0.98039214,-0.101111,0.091053,-0.082545
02-18-02 190,0,0,0,0.04,-0.014755,0,-0.319885,0,-0.92662,0,0,0.98039214,-0.101111,0.091053,-0.082545
02-18-02 239,0,0,0,0.04,-0.014755,0,-0.319885,0,-0.92662,0,0,0.98039214,-0.101111,0.091053,-0.082545
02-18-02 297,0,0,0,0.04,-0.014755,0,-0.319885,0,-0.92662,0,0,0.98039214,-0.101111,0.091053,-0.082545
02-18-02 346,0,0,0,0.04,-0.000229,0.014526,-0.305527,0.014358,-0.953262,0.026642,0.033570121,1.001027093,-0.101111,0.091053,-0.082545
02-18-02 395,0,0,0,0.04,-0.000229,0,-0.305527,0,-0.953262,0,0,1.001027093,-0.101111,0.091053,-0.082545
02-18-02 444,0,0,0,0.04,-0.000229,0,-0.305527,0,-0.953262,0,0,1.001027093,-0.180316,0.031396,-0.021957
02-18-02 503,0,0,0,0.04,-0.020279,0.02005,-0.334503,0.028976,-0.93129,0.021972,0.041525653,0.989749746,-0.180316,0.031396,-0.021957
02-18-02 555,0,0,0,0.08,-0.020279,0,-0.334503,0,-0.93129,0,0,0.989749746,-0.180316,0.031396,-0.021957
02-18-02 600,0,0,0,0.08,-0.020279,0,-0.334503,0,-0.93129,0,0,0.989749746,-0.180316,0.031396,-0.021957
02-18-02 649,0,0,0,0.04,-0.020279,0,-0.334503,0,-0.93129,0,0,0.989749746,0.04565,-0.024453,-0.079129
02-18-02 708,0,0,0,0.04,-0.141861,0.121582,-0.205933,0.12857,-0.912552,0.018738,0.17794252,0.946194534,0.04565,-0.024453,-0.079129
02-18-02 756,0,0,0,0.08,-0.141861,0,-0.205933,0,-0.912552,0,0,0.946194534,0.04565,-0.024453,-0.079129
02-18-02 805,0,0,0,0.12,-0.141861,0,-0.205933,0,-0.912552,0,0,0.946194534,0.04565,-0.024453,-0.079129
02-18-02 973,0,0,0,0.08,-0.427063,0.285202,-0.112885,0.093048,-0.28714,0.625412,0.69364132,0.526854068,2.523115,-1.876088,-0.174219
02-18-02 978,0,0,0,0.08,-0.427063,0,-0.112885,0,-0.28714,0,0,0.526854068,2.523115,-1.876088,-0.174219
02-18-02 980,0,0,0,0,-0.427063,0,-0.112885,0,-0.28714,0,0,0.526854068,2.523115,-1.876088,-0.174219
