,,,,,x,xdiff,y,ydiff,z,zdiff,adiff,asqur,,,
02-22-08 821,0,0,0,0,0,,0,,0,,,,0,0,0
02-22-08 825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 882,0,0,0.16,0.32,0,0,0,0,0,0,0,0,0,0,0
02-22-08 886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 902,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
02-22-08 905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-22-08 911,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0
02-22-08 914,0,0,0.04,0.12,0,0,0,0,0,0,0,0,0,0,0
02-22-08 918,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0
02-22-08 922,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
02-22-08 925,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0
02-22-08 930,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
02-22-08 935,0,0,0.04,0.12,0,0,0,0,0,0,0,0,0,0,0
02-22-08 940,0,0,0.04,0.12,0,0,0,0,0,0,0,0,0,0,0
02-22-08 948,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0
02-22-08 952,0,0,0.04,0.12,0,0,0,0,0,0,0,0,0,0,0
02-22-08 955,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0
02-22-08 959,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0
02-22-08 962,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0
02-22-08 966,0,0,0.04,0.12,0,0,0,0,0,0,0,0,0,0,0
02-22-08 971,0,0,0.04,0.12,0,0,0,0,0,0,0,0,0,0,0
02-22-08 976,0,0,0.04,0.12,0,0,0,0,0,0,0,0,0,0,0
02-22-08 983,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0
02-22-08 991,0,0,0.04,0.12,0,0,0,0,0,0,0,0,0,0,0
02-22-08 998,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0
